Title,Latitude,Longitude,StateOrProvince,Parking Status,Usage Cost
Kirriemuir Motel and Cabins,-34.18605180138638,139.99661283387684,South Australia,Public - Membership Required,"Evening peak 32c kWh (5:00pm to 10:00pm), Standard 25c kWh (all other times)"
Terrace Central [Tesla],-32.76374294675019,151.742101372786,New South Wales,Public - Membership Required,$0.68/kWh
Ellendon Street,-35.25805966511065,149.4398991158709,New South Wales,Public - Membership Required,Cost information not available
Bannister Road,-32.80115991667573,116.47522932344805,Western Australia,Public,"$0.45 per kWh, may vary. See chargehub app."
Spud's Roadhouse Motel,-31.2557851,136.80266,South Australia,Public - Membership Required,Cost information not available
Kulgera Roadhouse and Caravan Park,-25.840736817666908,133.29974959294498,NT,Public - Pay At Location,$10 per hour @22kw
AmpCharge Charging Station,-33.765456662016454,150.62149884005026,New South Wales,Public - Membership Required,Cost information not available
Margaret River (WA EV Network),-33.953590454066756,115.07079111266364,Western Australia,Public - Membership Required,$0.60 per kWh at all times.
Kalgoorlie (WA EV Network),-30.750111329876674,121.47511538931815,Western Australia,Public - Membership Required,"$0.60 per kWh for high power DC, $0.35 per kWh for low power AC."
Tesla Superchargers Yass,-34.84380365342569,148.9141018891671,New South Wales,Public - Membership Required,$0.52/kWh
Tesla Supercharger Holbrook,-35.7229067434558,147.3171930996939,New South Wales,Public - Membership Required,$0.69 / kWh
KFC Goulburn,-34.772316512568395,149.69267286725506,New South Wales,Public - Membership Required,Cost information not available
Evie Leongatha,-38.47811653249701,145.94369632320195,Victoria,Public - Membership Required,Cost information not available
Charging the Regions,-38.47607406598741,145.9449660995017,Victoria,Public - Membership Required,Cost information not available
Evie Korumburra,-38.43454681668418,145.82550050274392,Victoria,Public - Membership Required,Cost information not available
Charging the Regions,-38.43293285267044,145.82559498595492,Victoria,Public - Membership Required,Cost information not available
Evie Warrigul,-38.16759449972774,145.95340965722312,Victoria,Public - Membership Required,Cost information not available
Engie Monash University,-38.15200425352916,145.13493764315962,Victoria,Public - Membership Required,Cost information not available
RAA Ceduna,-32.12627372979047,133.6729436190849,South Australia,Public - Pay At Location,0.59 - 0.68 AUD kWh
NRMA Cabarita Beach,-28.33164512189506,153.56421838432203,New South Wales,Public - Membership Required,$0.60/kWh
Evie Ararat,-37.282013366626494,142.9297245107835,Victoria,Public - Membership Required,Cost information not available
Tesla Superchargers Stawell,-37.054694820216696,142.7814197610627,Victoria,Public - Membership Required,$0.66/kWh
Evie Stawell,-37.05706536578791,142.78103976991747,Victoria,Public - Membership Required,Cost information not available
Evie Benalla,-36.55114428189935,145.98425664687772,Victoria,Public - Membership Required,Cost information not available
Evie Mornington,-38.22449869065465,145.03964281641652,Victoria,Public - Membership Required,Cost information not available
Barrenjoey Road,-33.597285174014345,151.31997898476163,New South Wales,Public - Membership Required,"First 7kWh free, then $0.49 per kWh thereafter. $5/hr idle time"
Nanutarra (WA EV Network),-22.543198410447303,115.50141571783809,Western Australia,Public - Membership Required,"$0.60 per kW for fast DC charger, $0.36 for slow AC charger,"
Puma INGLEWOOD,-28.41795526622294,151.07778635013676,QueensLand,Public - Membership Required,Cost information not available
Marla,-27.303552224037652,133.6227445832953,South Australia,Public - Pay At Location,Cost information not available
Kojonup Supercharger,-33.83754542029569,117.1578115341685,Western Australia,Public - Membership Required,Cost information not available
Narrogin Trailer Park,-32.937064398774,117.16399188426647,Western Australia,Public - Membership Required,$0.45 per kWh 
Narrogin Memorial Park ,-32.934143432527556,117.17480124057863,Western Australia,Public - Membership Required,$0.45 per kWh. 
Old Courthouse Museum ,-32.933670519982606,117.17677737808447,Western Australia,Public - Membership Required,$0.45 per kWh 
Wyalkatchem Community Resource Center,-31.179597642152913,117.37944093832061,Western Australia,Public,$5.00 per hour.
Car Park,-28.21747800470518,152.03115724286278,QueensLand,Public,free
Warnambool Tourist Information Centre,-38.389181,142.484993,Victoria,Public,payment may be required
Coles Bairnsdale,-37.82480937950314,147.63246014953563,Victoria,Public - Membership Required,0.70c/kwh
Bairnsdale Coles,-37.82454530904592,147.6327352303539,Victoria,Public,$0.70 per kWh
WA EV Network - Bunbury,-33.32517168635446,115.642665842138,Western Australia,Public - Membership Required,$0.60 per kWh
Roma Explorer Inn,-26.575093433135848,148.80762514285902,QueensLand,Privately Owned - Notice Required,Cost information not available
RAA Charge Whyalla Westland Shopping Centre,-33.02641308008939,137.53226864294578,South Australia,Public - Membership Required,59c-68c/kWh
RAA Charge Wharflands,-32.48927,137.7612186,South Australia,Public - Membership Required,0.59-0.68
Overlander Roadhouse (WA EV Network),-26.41184549747159,114.46404594375008,Western Australia,Public - Membership Required,"$0.60 per kWh for high power DC, $0.35 per kWh for low power AC."
Thornlie Square Mall,-32.05512902897771,115.96339054908071,Western Australia,Public - Membership Required,Cost information not available
Knutsford Village,-32.05199556827005,115.76493682476348,Western Australia,Public - Membership Required,$0.50 per kWh
Wells Street,-32.79758493806768,134.19831799463498,South Australia,Public - Pay At Location,0.59 - 0.68 AUD kWh
Beatty Park Leisure Centre,-31.936258468207264,115.8497013709943,Western Australia,Public - Membership Required,"Free, with idle time penalty."
Rocland Nuriootpa,-34.4602252,138.9866954,South Australia,Public,Cost information not available
NRMA - Joondalup,-31.758081346597947,115.77145646090628,Western Australia,Public - Membership Required,$0.60 per kWh
BP Pulse Ferny Grove,-27.402355423317843,152.93697981150945,QueensLand,Public - Membership Required,Cost information not available
RRA Charge Wudinna Hall - Chargefox,-33.047159,135.461943,South Australia,Public,59c-68c/kWh
Kimba Roadhouse - Chargefox,-33.14584,136.415203,South Australia,Public,59c-68c/kWh
Apex Energy Australia,-34.991588982756106,138.57595688588066,South Australia,Public - Notice Required,Free
Arkaroola Road,-30.311578112924515,139.33620167274148,South Australia,Public - Pay At Location,1
Coogee Supercharger,-32.102866290875234,115.76244884692244,Western Australia,Public - Membership Required,Cost information not available
Kununarra (WA EV Network),-15.779058583778237,128.74043814383487,Western Australia,Public - Membership Required,"$0.60 per kWh for high power DC, $0.35 per kWh for kow power AC."
Heathcote Visitor Centre,-36.923705481847556,144.7100660165538,Victoria ,Public - Membership Required,$0.50/kWh
Wallan,-37.413967109460415,144.9791065326649,Victoria,Public - Membership Required,Cost information not available
Ampol Foodary Pheasants Nest Southbound,-34.2834466714301,150.63939668827243,New South Wales,Public - Membership Required,AUD 0.69/kWh
Ampol Foodary Pheasants Nest Northbound,-34.2829974272134,150.63679286992692,New South Wales,Public - Membership Required,$0.69 per kWh
Blue Marlin Court,-37.051215336112,149.90155657766792,New South Wales,"Private - For Staff, Visitors or Customers",?
Seahorse Inn Hotel,-37.10326647778291,149.87937771549701,New South Wales,"Private - For Staff, Visitors or Customers",unsure
RAA Charge Cowell,-33.68530286444153,136.92905700914315,South Australia,Public,59c-68c/kWh
Dalwallinu,-30.27621389393004,116.66182170267825,Western Australia,Public - Membership Required,0.55 / kWh 
Exmouth (WA EV Network),-21.937404564407117,114.13060539906303,Western Australia,Public - Membership Required,Cost information not available
HBF Arena - Joondalup,-31.73530856799269,115.76057078337675,Western Australia,Public,Free
Ampol Waitara,-33.71060645301792,151.1025062095589,New South Wales,Public - Membership Required,Cost information not available
Electrona EV Charging Station,-41.87471231875492,148.3041358766775,Tasmania,Public - Pay At Location,See https://electrona.au/evc/bchno/bchno-001.html
Cedar Lodge Motel,-30.5168745388638,151.66662986871611,New South Wales,"Private - For Staff, Visitors or Customers",$15 for guest who do not book direct.  Free for guest who book direct.
Ampol Kilsyth,-37.82365941817221,145.2959481777906,Victoria,Public - Membership Required,$0.69/kWh for pay-as-you-go charging.
Hilton Garden Inn Albany,-35.029504038354794,117.88711964420804,Western Australia,Public - Membership Required,Cost information not available
Brookton (WA EV Network),-32.36748025468421,117.00946148863972,Western Australia,Public,DC Charging $0.35 - $0.60 per kWh at all times.
NRMA Fast Charger Gunnedah,-30.978295982227706,150.25129064038157,New South Wales,Public - Pay At Location,"$0, but payment will be required Oct-Dec 2023"
Hyden (WA EV Network),-32.44938187858875,118.86590392183905,Western Australia,Public - Membership Required,"$0.60 per kWh DC, $0.35 per kWh AC"
Morowa Destination Charger,-29.210721611002967,116.00847792163336,Western Australia,Public - Membership Required,Free
Bicheno East Coast Holiday Park - EV charging station ,-41.87508668420113,148.30190462959308,Tasmania,"Private - For Staff, Visitors or Customers",Cost information not available
Heyfield Apex Park,-37.98035192583418,146.7866369371215,Victoria,Public - Membership Required,$0.40/kWh
North Bellarine Aquatic Centre,-38.188088367705056,144.55520001587047,Victoria,Public - Membership Required,$0.45/kWh
Jerramungup (WA EV Network),-33.93987597013291,118.92073932501205,Western Australia,Public,DC Charging $0.60 per kWh at all times.
Ravensthorpe (WA EV Network),-33.58080346048715,120.04577841886328,Western Australia ,Public,Fast DC charging $0.60 per kWh at all times. Slow AC charging $0.35 per kWh at all times.
RAA Charge - Kimba Bowling Club,-33.135121425836196,136.41678887852186,South Australia,Public,Evening peak 32c/kWh (5pm - 10pm) Standard 25c/kWh (all other times)
Denham (WA EV Highway),-25.927965006899086,113.53579323666713,Western Australia,Public,DC Charging $0.35 - $0.60 per kWh at all times.
NRMA Short Street Car Park,-32.58948930999341,149.58496449340686,New South Wales,Public,60c / 54c for NRMA Members
Karratha (WA EV Network),-20.73538816872096,116.84749086556644,Western Australia,Public - Membership Required,DC Charging $0.35 - $0.60 per kWh at all times.
Wongan Hills Vistor Center,-30.89283905452806,116.71613902661392,Western Australia,Public,Unknown
Morley Sport and Recreation Centre,-31.89248383322912,115.89594640150904,Western Australia,Public - Membership Required,Free
Warnambool Supercharger,-38.380939,142.518958,Victoria,Public - Membership Required,$0.78/kWh
Colac Supercharger,-38.34137606647682,143.59297402313945,Victoria,Public - Membership Required,$0.78/kWh
Geelong Supercharger,-38.064796504586276,144.38238251338635,Victoria,Public - Membership Required,$0.78/kWh
Yea Supercharger,-37.21006161015167,145.4261473877039,Victoria,Public - Membership Required,$0.78/kWh
ENGIE - Royal Australian Mint,-35.31872,149.093821,Australian Capital Territory,Public - Membership Required,$0.60/kWh
Electric Highway Tasmania - Kingston,-42.975674,147.311542,Tasmania,Public - Membership Required,$0.40 - $0.50/kWh
Ampol Foodary Penrith,-33.7430336465433,150.69296375875626,New South Wales,Public - Membership Required,$0.69/kWh for pay-as-you-go charging.
Kings Park (WA EV Network),-31.966752218660034,115.8223778363822,Western Australia,Public,DC Charging $0.35 - $0.60 per kWh at all times.
The Mount Druitt Hub,-33.767499717192706,150.82239944831394,New South Wales,Public - Membership Required,Cost information not available
Chargefox,-33.770837178135245,150.84515556849738,New South Wales,Public - Membership Required,Cost information not available
Cowra Driver Reviver Rest Area,-33.8356251851398,148.68186745491857,New South Wales,Public,Cost information not available
Leppington Village Shopping Centre,-33.961508128351525,150.80570305129015,New South Wales,Public - Membership Required,Free
Boorowa Ex-services and Citizens Club,-34.43723217352768,148.7237343048496,New South Wales,Public - Membership Required,Cost information not available
bp pulse Seven Hills,-33.76725,150.952041,New South Wales,Public - Membership Required,55c/kWh
bp pulse Blacksoil,-27.579063,152.712931,QueensLand,Public - Membership Required,55c/kWh
bp pulse Nambour,-26.630979038266453,152.960453125286,QueensLand,Public - Membership Required,Cost information not available
bp pulse Hamilton,-27.437537,153.07008,QueensLand,Public - Membership Required,55c/kWh
Civic Centre,-37.897374392712145,144.67054059560462,Victoria,Public - Membership Required,Free
EV Charging Australia,-27.973719,152.994503,QueensLand,Public - Membership Required,$0.60 per kWh
ENGIE - Chadstone,-37.884370226319035,145.08316779641655,Victoria,Public - Membership Required,$0.45 per kWh
Merredin (WA EV Highway),-31.482388441408943,118.27832297090504,Western Australia,Public,"Fast DC Charging $0.60 per kWh, slow AC charging $0.35 per kWh (at all times)."
Carnarvon (WA EV Network),-24.883472420392252,113.65628450455051,Western Australia,Public - Membership Required,DC $0.60/kWh (at all times)
East Brisbane [bp pulse],-27.479742,153.043682,QueensLand,Public - Membership Required,55c/kWh
Wiley Park [bp pulse],-33.919392020719556,151.06669418522023,New South Wales,Public - Membership Required,55c/kWh
Logan Motorway [bp pulse],-27.640356550632916,153.0095965529904,QueensLand,Public - Membership Required,$0.55/kWh
Springwood [bp pulse],-27.622308783587712,153.12819192141268,QueensLand,Public - Membership Required,55c/kWh
Coffs Harbour [bp pulse],-30.291705053434413,153.1183335669906,New South Wales,Public - Membership Required,$0.55/kWh
bp pulse Loganholme,-27.684545775335394,153.18963641316446,QueensLand,Public - Membership Required,55c/kWh
bp pulse Dandenong North,-37.970797096657705,145.22316104545723,Victoria,Public - Membership Required,55c/kWh
bp pulse Rye,-38.37130601612926,144.8277248633259,Victoria,Public - Membership Required,55c/kWh
bp pulse Albany Forrest,-27.357963044567576,152.96944606011124,QueensLand,Public - Membership Required,$0.55/kWh
bp pulse Rosehill,-33.818996055217895,151.02170364175703,New South Wales,Public - Membership Required,55c/kWh
bp pulse Sydenham,-33.916260575133784,151.17311326359567,New South Wales,Public - Membership Required,55c/kWh
Maroochy Plaza [bp pulse],-26.65561596418697,153.07350136591492,QueensLand,Public - Membership Required,55c/kWh
Fairy Meadow [bp pulse],-34.40299801963799,150.89157957672126,New South Wales,Public - Membership Required,55c/kWh
Glenrowan South [bp pulse],-36.43943308112671,146.2499032852465,Victoria,Public - Membership Required,55c/kWh
Glenrowan North [bp pulse],-36.43833642761878,146.2481571029768,Victoria,Public - Membership Required,$0.55/kWh
Macquarie Regional Library Wellington,-32.555451644419065,148.94186794794365,New South Wales,Public,FREE
bp pulse Merrifield,-37.53426998045639,144.89828573356567,Victoria,Public - Membership Required,55c/kWh
Newling Reserve,-38.2451409999477,144.17299786561424,Victoria,Public,Cost information not available
Ampol Foodary Baldivis,-32.33110206204209,115.82079377764967,Western Australia,Public - Membership Required,$0.60 per kWh
Kwinana City Centro,-32.24065444817922,115.81355718837756,Western Australia,Public - Membership Required,"$1.00 per kWh from 17:00 to 21:00, $0.45 other times."
Electric Highway - Kingaroy,-26.540236121911178,151.83832086354795,QueensLand,Public - Membership Required,$0.30 per kWh
Nerang Admin,-27.98457931723788,153.33902087264016,QueensLand,Public - Membership Required,$0.30 per kWh
Soldiers Point Marina,-32.70132961987918,152.06273775785866,New South Wales,Public - Membership Required,$0.45 per kWh
New Broadwater Parklands,-27.960063068781317,153.41231494799337,QueensLand,Public - Membership Required,$0.30 per kWh
Kurrawa Surf Club,-28.029580796113862,153.43460209485096,QueensLand,Public - Membership Required,$0.30
Vicinity Centres - Grand Plaza,-27.66241706105511,153.0403591131698,QueensLand,Public - Membership Required,Free
27 - 49 Browns Plains Road,-27.663992390175515,153.0411196361111,QueensLand,Public - Membership Required,$0.45 per kWh
Lismore City Council,-28.806512,153.278955,New South Wales,Public - Membership Required,$0.40 per kWh
Bundall Chamers,-28.001849617468316,153.41528386738196,QueensLand,Public - Membership Required,$0.30 per kWh
Rydges Port Macquarie,-31.42838118857074,152.908821311353,New South Wales,"Private - For Staff, Visitors or Customers",0
Byron Bay Library,-28.643331391697856,153.61569695569148,New South Wales,Public - Membership Required,$0.40 per kWh
Hepburn Springs Bathhouse,-37.31033013058219,144.14010887525797,Victoria,Public - Membership Required,$0.45 per kWh
Warmun Roadhouse (WA EV Network),-17.017056005797656,128.21775683357424,Western Australia,Public,"High power DC $0.60 per kWh, low power AC $0.35 per kWh."
Billabong Homestead Hotel,-26.81653584774535,114.6141092018064,Western Australia ,Public,DC Charging $0.60 per kWh at all times.
Lancaster Motor Group,-32.576825359627556,151.18453691259265,New South Wales,Public,.35
Electric Highway - Dingo,-23.646873090081343,149.3325053332834,QueensLand,Public - Membership Required,Cost information not available
Electric Highway - Ipswich,-27.616321690924863,152.75861722481307,QueensLand,Public - Membership Required,Cost information not available
Gold Coast Sports & Leisure Centre,-28.004299394733387,153.36456618761417,QueensLand,Public - Membership Required,Cost information not available
Bus Stop Sales - Rocklea,-27.552386663917353,153.00880127325075,QueensLand,Public - Membership Required,Cost information not available
Electric Highway - Esk,-27.239039102114774,152.42027885374284,QueensLand,Public - Membership Required,$0.30/kWh
ENGIE - Lake Haven Centre,-33.24078932377033,151.50325247968817,New South Wales,Public - Membership Required,Cost information not available
Miami Aquatic Centre,-28.061726469417813,153.4293860165546,QueensLand,Public - Membership Required,Cost information not available
The Station Oxley,-27.553059245373817,152.97525758314129,QueensLand,Public - Membership Required,Cost information not available
Indooroopilly,-27.49838316297592,152.97362245069473,QueensLand,Public - Membership Required,Cost information not available
Red Rooster Guildford,-33.85283452159095,150.99575854229482,New South Wales,Public - Membership Required,Cost information not available
Best Western Ranges Hotel,-20.752161296542837,116.84864209690846,Western Australia,Public,Per agreement with front desk.
Northbridge Plaza,-33.809374,151.208591,New South Wales,Public - Membership Required,Cost information not available
Jamisontown,-33.770379031934034,150.67371849780716,New South Wales,Public - Membership Required,Cost information not available
Dorhauer Lane,-33.88847179022024,151.23760032945688,New South Wales,Public - Membership Required,Cost information not available
Casula Mall,-33.947906375047246,150.90105410921717,New South Wales,Public - Membership Required,Cost information not available
Brendale Service Centre,-27.328346265392916,152.98746683129355,QueensLand,Public - Membership Required,Cost information not available
Raglan Street West,-33.83121718107124,151.24368057896396,New South Wales,Public - Membership Required,Cost information not available
Springwood,-27.612304,153.124421,QueensLand,Public - Membership Required,Cost information not available
BP Ashfield,-33.87421821418127,151.12682969039508,New South Wales,Public - Membership Required,Cost information not available
Jindalee Home,-27.533780259789047,152.94849091743436,QueensLand,Public - Membership Required,Cost information not available
Swansea,-33.0833,151.6333,New South Wales,Public - Membership Required,Cost information not available
Noosa Village,-26.400474,153.064833,QueensLand,Public - Membership Required,Cost information not available
Leichhardt Marketplace,-33.883514,151.150017,New South Wales,Public - Membership Required,Cost information not available
Victoria Point,-27.5867871,153.283693717,QueensLand,Public - Membership Required,Cost information not available
Pacific Fair,-28.0353512,153.4274028,QueensLand,Public - Membership Required,Cost information not available
Caloundra Shopping Centre,-26.803426,153.12491,QueensLand,Public - Membership Required,Cost information not available
Barossa Central Shopping Centre,-34.4790652,138.9615012,South Australia,Public - Membership Required,Payment Required Evening peak 68c kWh (5:00pm to 10:00pm) Standard 59c kWh (all other times)
"Elizabeth City Centre, ",-34.7189959,138.6663354,SA ,Public - Membership Required,$0.45 per kWh (at all times)
Billabong Trailer Park,-26.817509801079424,114.61472149842416,Western Australia,"Private - For Staff, Visitors or Customers",Cost information not available
Northpoint Shopping Centre,-27.541346,151.952256,QueensLand,Public - Membership Required,Cost information not available
Lutwyche Market Central,-27.422167,153.034685,QueensLand,Public - Membership Required,Cost information not available
Montague Markets,-27.4856857,153.00120821,QueensLand,Public - Membership Required,Cost information not available
Ashfield Mall,-33.8895642,151.1235986,New South Wales,Public - Membership Required,Cost information not available
Birkdale Fair,-27.4915472,153.2179852,QueensLand,Public - Membership Required,Cost information not available
Bundamba,-27.588131,152.821959,QueensLand,Public - Membership Required,Cost information not available
Gasworks Plaza,-27.4504829,153.0443855,QueensLand,Public - Membership Required,Cost information not available
Allambie Grove Business Park,-33.751303,151.2433284,New South Wales,Public - Membership Required,Cost information not available
Red Rooster ,-12.396092,130.8968483,NT,Public - Membership Required,Cost information not available
BP Caringbah,-34.03295211277035,151.12520883189632,New South Wales,Public - Membership Required,Cost information not available
Eastgate Bondi Junction,-33.892967,151.248028,New South Wales,Public - Membership Required,Cost information not available
Belrose Home,-33.703118,151.212917,New South Wales,Public - Membership Required,Cost information not available
Civic Plaza 88 Christie,-33.823861,151.195326,New South Wales,Public - Membership Required,Cost information not available
Evie Darwin,-12.459284,130.836153,NT,Public - Membership Required,Cost information not available
Royal Randwick,-33.915187,151.240972,New South Wales,Public - Membership Required,Cost information not available
Robina Central,-28.081588,153.381888,QueensLand,Public - Membership Required,Cost information not available
Brickworks Ferry Road,-27.980749,153.409711,QueensLand,Public - Membership Required,Cost information not available
Macquarie Centre,-33.777565954445315,151.12056384466786,New South Wales,Public - Membership Required,Cost information not available
ENGIE - Greenway Wetherill Park,-33.850403,150.89840155,New South Wales,Public - Membership Required,$0.55/kWh
Pennant Hills Toyota,-33.7366211,151.0743388,New South Wales,Public - Membership Required,$0.60/kWh
Berowra Tennis Centre,-33.621379,151.1494478,New South Wales,Public - Membership Required,$0.60/kWh
The Heffron Centre,-33.97374,151.236646,New South Wales,Public - Membership Required,Free - $0.42/kWh
ENGIE - DFO Homebush,-33.855576,151.076681,New South Wales,Public - Membership Required,$0.45/kWh
ENGIE - Roselands Shopping Centre,-33.935,151.069205,New South Wales,Public - Membership Required,$0.45/kWh
NRMA - Sydney,-33.9055215,151.2128,New South Wales,Public - Membership Required,$0.45 - $0.60/kWh
ENGIE - Warriewood Square,-33.695602,151.2962878,New South Wales,Public - Membership Required,$0.45/kWh
Mirvac South Eveleigh,-33.8955812,151.1958121,New South Wales,Public - Membership Required,Free
TLE Electrical Artarmon,-33.81845312500111,151.18932889926964,New South Wales,Public - Membership Required,$0.30/kWh
Bendigo Kangan Institute,-36.7527695,144.2940181,Victoria,Public - Membership Required,$0.40/kWh
Motors Devonport,-41.179441,146.341294,Tasmania,Public - Membership Required,$0.23/kWh
10 Esplanade,-42.155391,145.32604,Tasmania,Public - Membership Required,$0.40 - $0.52/kWh
Strata Equity – Hunter Werribee,-37.901930594530896,144.6625784145474,Victoria,Public - Membership Required,Free
Electric Highway Tasmania - Maydena,-42.754949,146.628993,Tasmania,Public - Membership Required,$0.27 - $0.40/kWh
Electric Highway Tasmania - Dunalley,-42.886808,147.81389,Tasmania,Public - Membership Required,$0.40 - $0.50/kWh
Electric Highway Tasmania - Derby,-41.149411,147.803691,Tasmania,Public - Membership Required,$0.27 - $0.40/kWh
Electric Highway Tasmania - Fingal,-41.638,147.9681,Tasmania,Public - Membership Required,$0.27 - $0.40/kWh
The Isla,-35.731097,150.197277,New South Wales,Public - Membership Required,$0.60/kWh
Rocket @ The End Of The Road,-43.43165,146.97408,Tasmania,Public - Membership Required,$0.50/kWh
Mansi on Raymond,-38.101629,147.065543,Victoria,Public - Membership Required,$0.40/kWh
Electric Highway Tasmania - Cygnet,-43.161979080863325,147.07772323414196,Tasmania,Public - Membership Required,$0.27 - $0.40/kWh
Inveresk QVMAG Car Park,-41.425875,147.139979,Tasmania,Public - Membership Required,$0.30/kWh
George Town Council Chambers,-41.105627281858055,146.82315392988272,Tasmania,Public - Membership Required,$0.40 - $0.55/kWh
Jolt Bayswster,-37.84108696617519,145.2666187431746,Victoria,Public - Membership Required,"First 7kWh free, then $0.40 per kWh thereafter. $5/hr idle time"
Electric Highway Tasmania - Triabunna,-42.50810955517955,147.91002661194875,Tasmania,Public - Membership Required,Cost information not available
50 Learmonth Street,-38.26770792670353,144.6589785355144,Victoria,Public - Membership Required,$0.45 per kWh
Armstrong Creek East Community Hub,-38.231759419255376,144.36927996323692,Victoria,Public - Membership Required,Free
Wuality Resort Siesta,-36.045905,146.943511,New South Wales,"Private - For Staff, Visitors or Customers",Free
Blue Tongue Industries,-38.197502248120415,144.34395122104382,Victoria,Public - Membership Required,$0.30 per kWh
RACV Solar Grovedale,-38.197594122360314,144.34487185372615,Victoria,Public - Membership Required,$0.25 per kWh
Chadstone Shopping Centre,-37.884974305769425,145.08243117285895,Victoria,Public - Membership Required,Free
Eltham Leisure Centre,-37.72302764419204,145.14217983897862,Victoria,Public - Membership Required,Free
Devon Street Car Park,-37.79675756180921,145.27982712620957,Victoria,Public - Membership Required,Free
Callaghan Motors,-38.36320203022315,142.4561073425345,Victoria,Public - Membership Required,$0.50 per kWh
Midlands Golf Club,-37.52794764296954,143.85802750554984,Victoria,Public - Membership Required,$0.35 per kWh
Deakin University Waurn Ponds,-38.19671590570452,144.29935439201148,Victoria,Public - Membership Required,Free
Woolworths Heidelberg,-37.75910544295768,145.06876762326635,Victoria,Public - Membership Required,Free
Austin Tower Carpark Level B1,-37.75745813437603,145.05918510936715,Victoria,Public - Membership Required,$0.25 per kWh
Cobblebank Village,-37.7144019574638,144.60143699904745,Victoria,Public - Membership Required,Free
Dindi Naturals,-37.10296645372912,145.61620856939197,Victoria,Public - Membership Required,Free
Stewarts Bay Lodge,-43.13907166604574,147.8548439357172,Tasmania,Public - Membership Required,$0.55 per kWh
Electric Highway Tasmania - Ouse,-42.48504801756201,146.7100908639125,Tasmania,Public - Membership Required,"0.25 per kWh + 0.15 per minute 9am - 6pm, 0.10 per minute other times"
Yarra Valley Nissan,-37.754997221186045,145.3637260206866,Victoria,Public - Membership Required,$0.31 per kWh
Brighton Council Chambers,-42.75097184541446,147.27872555026147,Tasmania,Public - Membership Required,Free
Fleming Park,-37.769132479580406,144.9747860386588,Victoria,Public - Membership Required,Free
