selected_ev,distance_km,electricity_price_per_kwh,ice_eff_l_per_100km,petrol_price_per_l,ev_trip_cost,ice_trip_cost,savings_ice_minus_ev,ev_co2_kg,ice_co2_kg,co2_saved_kg,state_elec,state_petrol,notes
Mercedes-Benz EQS 500 4MATIC,300.0,0.339,999.0,89.99,15.26,269700.03,269684.77,31.5,6923.07,6891.57,WA,SA,ICE fetch failed; manual entry path simulated
Mercedes-Benz EQE SUV EQE 300 SUV ,250.0,0.6,11.41,2.14,22.5,61.04,38.54,26.25,65.89,39.64,ACT,SA,
GWM Ora Extended Range GT,400.0,0.6,9.04,1.87,36.0,67.62,31.62,42.0,83.53,41.53,WA,SA,
Volvo C40 Recharge Twin,400.0,0.351,7.78,189.74,21.06,5904.71,5883.65,42.0,71.89,29.89,NT,WA,
Mercedes-Benz EQS 500 4MATIC,300.0,0.07,8.78,189.74,3.15,4997.75,4994.6,31.5,60.85,29.35,TAS,SA,
Tesla Model 3 RWD H6LRB,400.0,0.1,8.74,189.74,6.0,6633.31,6627.31,42.0,80.76,38.76,ACT,ACT,
Kia EV6 GT,250.0,0.6,10.21,89.99,22.5,2296.99,2274.49,26.25,58.96,32.71,ACT,VIC,
BYD SEAL PERFORMANCE,500.0,0.07,999.0,1.98,5.25,9890.1,9884.85,52.5,11538.45,11485.95,QLD,NSW,ICE fetch failed; manual entry path simulated
BYD SEAL Dynamic,200.0,0.292,7.35,1.97,8.76,28.96,20.2,21.0,33.96,12.96,QLD,QLD,
Kia EV6 GT,500.0,0.6,7.2,189.74,45.0,6830.64,6785.64,52.5,83.16,30.66,NT,WA,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,500.0,0.07,8.38,1.87,5.25,78.35,73.1,52.5,96.79,44.29,NSW,SA,
Audi Q8 Q8 e-tron quattro Sportback,300.0,0.07,7.46,189.74,3.15,4246.38,4243.23,31.5,51.7,20.2,VIC,SA,
Mercedes-Benz EQE SUV EQE 300 SUV ,250.0,0.335,9.58,2.18,12.56,52.21,39.65,26.25,55.32,29.07,VIC,ACT,
Mercedes-Benz EQE Class EQE53 AMG 4MATIC+,100.0,0.6,6.05,0.01,9.0,0.06,-8.94,10.5,13.98,3.48,VIC,SA,ICE fetch failed; manual entry path simulated
Peugeot 2008 e2008 GT,300.0,0.1,10.85,1.94,4.5,63.15,58.65,31.5,75.19,43.69,SA,TAS,
Mercedes-Benz EQE 53 AMG 4MATIC+,250.0,0.6,9.26,189.74,22.5,4392.48,4369.98,26.25,53.48,27.23,NT,NSW,
Tesla Model 3 Long Range H5LDB,150.0,0.07,10.78,2.02,1.58,32.66,31.09,15.75,37.35,21.6,NSW,ACT,
MG MG4 64kWh EV 4WD,500.0,0.281,7.74,2.01,21.08,77.79,56.71,52.5,89.4,36.9,QLD,VIC,
BMW 7 Series i7 M70 xDrive,300.0,0.07,8.36,1.93,3.15,48.4,45.25,31.5,57.93,26.43,ACT,NT,
Tesla Model 3 Long Range H5LDB,400.0,0.318,9.35,189.74,19.08,7096.28,7077.2,42.0,86.39,44.39,NT,NT,
Volvo XC40 Recharge,250.0,0.332,11.75,0.01,12.45,0.29,-12.16,26.25,67.86,41.61,VIC,VIC,
Lexus UX 300e,200.0,0.294,7.14,2.22,8.82,31.7,22.88,21.0,32.99,11.99,QLD,SA,
Rolls-Royce Spectre Black Badge Coupe,250.0,0.1,7.9,1.93,3.75,38.12,34.37,26.25,45.62,19.37,SA,SA,
MG ZS EV 72kWh,500.0,0.35,0.5,189.74,26.25,474.35,448.1,52.5,5.78,-46.73,WA,VIC,ICE fetch failed; manual entry path simulated
Ford Mach-E Select LFP RWD,250.0,0.301,8.48,2.26,11.29,47.91,36.62,26.25,48.97,22.72,VIC,ACT,
BMW X1 iX1 xDrive30,100.0,0.6,8.8,2.14,9.0,18.83,9.83,10.5,20.33,9.83,QLD,SA,
Ford Mach-E Premium LFP AWD,200.0,0.278,8.52,189.74,8.34,3233.17,3224.83,21.0,39.36,18.36,WA,NT,
Rolls-Royce Spectre Coupe,300.0,0.07,8.25,0.01,3.15,0.25,-2.9,31.5,57.17,25.67,TAS,QLD,
Cupra Born Born 77kWh 5 seat,200.0,0.1,9.27,2.05,3.0,38.01,35.01,21.0,42.83,21.83,SA,NT,ICE fetch failed; manual entry path simulated
Audi Q8 Q8 e-tron quattro,400.0,0.357,8.5,189.74,21.42,6451.16,6429.74,42.0,78.54,36.54,ACT,NSW,
MG MG4 64kWh EV 4WD,400.0,0.6,9.95,2.25,36.0,89.55,53.55,42.0,91.94,49.94,QLD,SA,
Ford Mach-E Premium 4P AWD,400.0,0.6,10.82,1.93,36.0,83.53,47.53,42.0,99.98,57.98,ACT,NSW,
Lexus RZ 450e,500.0,0.414,10.34,0.01,31.05,0.52,-30.53,52.5,119.43,66.93,WA,NSW,
Audi Q8 Q8 e-tron quattro,150.0,0.07,8.03,0.01,1.58,0.12,-1.45,15.75,27.82,12.07,VIC,NSW,
GWM Ora Extended Range GT,300.0,0.325,10.24,1.95,14.62,59.9,45.28,31.5,70.96,39.46,QLD,WA,
Volvo C40 Recharge,500.0,0.294,8.36,189.74,22.05,7931.13,7909.08,52.5,96.56,44.06,NT,VIC,
Peugeot Partner  ePARTNER PRO LONG,400.0,0.1,2018.0,1.82,6.0,14691.04,14685.04,42.0,18646.32,18604.32,WA,NT,ICE fetch failed; manual entry path simulated
GWM Ora Extended Range GT,100.0,0.306,8.31,189.74,4.59,1576.74,1572.15,10.5,19.2,8.7,QLD,WA,
Lexus RZ 450e,150.0,0.447,10.72,2.09,10.06,33.61,23.55,15.75,37.14,21.39,WA,NSW,
Lexus RZ 450e,150.0,0.316,0.5,0.01,7.11,0.01,-7.1,15.75,1.73,-14.02,WA,NSW,ICE fetch failed; manual entry path simulated
MG ZS EV 72kWh,100.0,0.296,8.89,0.01,4.44,0.09,-4.35,10.5,20.54,10.04,NSW,NT,ICE fetch failed; manual entry path simulated
"Cupra Born 77kWh 4 seat (20 Alloys)""",250.0,0.07,7.44,0.01,2.63,0.19,-2.44,26.25,42.97,16.72,QLD,NSW,
Lexus UX 300e,200.0,0.07,8.81,89.99,2.1,1585.62,1583.52,21.0,40.7,19.7,TAS,NSW,
Lexus UX 300e,150.0,0.32,5.86,1.73,7.2,15.21,8.01,15.75,20.3,4.55,QLD,WA,ICE fetch failed; manual entry path simulated
Audi Q8 Q8 e-tron quattro,100.0,0.376,9.29,0.01,5.64,0.09,-5.55,10.5,21.46,10.96,TAS,NT,ICE fetch failed; manual entry path simulated
Fiat 500e FWD 87 kW 42 kWh,400.0,0.1,10.47,1.93,6.0,80.83,74.83,42.0,96.74,54.74,SA,WA,
Kia EV6 GT,150.0,0.277,8.47,189.74,6.23,2410.65,2404.41,15.75,29.35,13.6,TAS,SA,
BYD SEAL PREMIUM,300.0,0.305,8.76,1.96,13.72,51.51,37.78,31.5,60.71,29.21,TAS,VIC,
Mercedes-Benz EQE Class EQE53 AMG 4MATIC+,400.0,0.291,7.13,2.21,17.46,63.03,45.57,42.0,65.88,23.88,NSW,SA,
BMW X1 iX1 xDrive30,500.0,0.403,10.19,0.01,30.23,0.51,-29.72,52.5,117.69,65.19,NSW,WA,ICE fetch failed; manual entry path simulated
Mercedes-Benz EQE Class EQE 350 4MATIC,400.0,0.6,7.4,1.94,36.0,57.42,21.42,42.0,68.38,26.38,VIC,ACT,
BYD SEAL Dynamic,300.0,0.07,50.0,1.99,3.15,298.5,295.35,31.5,346.5,315.0,VIC,NSW,ICE fetch failed; manual entry path simulated
Kia EV6 GT,150.0,0.07,999.0,1.97,1.58,2952.05,2950.47,15.75,3461.53,3445.78,NSW,VIC,ICE fetch failed; manual entry path simulated
MG MG4 51kWh EV RWD ,250.0,0.353,8.03,1.92,13.24,38.54,25.31,26.25,46.37,20.12,TAS,QLD,
Fiat 500e FWD 87 kW 42 kWh,100.0,0.6,7.85,1.69,9.0,13.27,4.27,10.5,18.13,7.63,VIC,NSW,
BMW 5 Series i5 eDrive40,400.0,0.6,8.01,2.04,36.0,65.36,29.36,42.0,74.01,32.01,ACT,NT,
GWM Ora Standard Range,200.0,0.07,9.05,2.02,2.1,36.56,34.46,21.0,41.81,20.81,TAS,QLD,
Fiat 500e FWD 87 kW 42 kWh,500.0,0.298,7.75,189.74,22.35,7352.43,7330.07,52.5,89.51,37.01,NSW,TAS,
Tesla Model 3 Long Range H5LDB,100.0,0.07,10.75,2.05,1.05,22.04,20.99,10.5,24.83,14.33,VIC,NSW,
Peugeot Partner  ePARTNER PRO LONG,300.0,0.6,9.47,2.16,27.0,61.37,34.37,31.5,65.63,34.13,WA,NT,
Lexus RZ 450e,200.0,0.1,8.02,89.99,3.0,1443.44,1440.44,21.0,37.05,16.05,TAS,WA,
Volvo C40 Recharge Twin,250.0,0.07,9.16,0.01,2.63,0.23,-2.4,26.25,52.9,26.65,NT,SA,
MG ZS EV 72kWh,150.0,0.6,7.39,0.01,13.5,0.11,-13.39,15.75,25.61,9.86,NT,NT,
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,200.0,0.322,9.27,2.06,9.66,38.19,28.53,21.0,42.83,21.83,TAS,WA,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,500.0,0.272,8.26,1.91,20.4,78.88,58.48,52.5,95.4,42.9,WA,ACT,
Lexus UX 300e,300.0,0.07,6.05,2.37,3.15,43.02,39.87,31.5,41.93,10.43,QLD,QLD,ICE fetch failed; manual entry path simulated
BMW 7 Series i7 M70 xDrive,400.0,0.26,7.02,189.74,15.6,5327.9,5312.3,42.0,64.86,22.86,SA,QLD,
Tesla Model 3 Long Range H5LDB,300.0,0.354,10.24,2.16,15.93,66.36,50.43,31.5,70.96,39.46,ACT,QLD,
Lexus RZ 450e,100.0,0.1,10.42,189.74,1.5,1977.09,1975.59,10.5,24.07,13.57,WA,ACT,
Rolls-Royce Spectre Black Badge Coupe,250.0,0.292,9.44,189.74,10.95,4477.86,4466.91,26.25,54.52,28.27,NT,TAS,ICE fetch failed; manual entry path simulated
Ford Mach-E Premium 4P RWD,250.0,0.287,7.78,189.74,10.76,3690.44,3679.68,26.25,44.93,18.68,SA,WA,
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,250.0,0.1,10.87,0.01,3.75,0.27,-3.48,26.25,62.77,36.52,ACT,VIC,
"Cupra Born 77kWh 4 seat (20 Alloys)""",250.0,0.6,10.13,2.13,22.5,53.94,31.44,26.25,58.5,32.25,WA,TAS,ICE fetch failed; manual entry path simulated
GWM Ora Standard Range,200.0,0.6,10.74,0.01,18.0,0.21,-17.79,21.0,49.62,28.62,NSW,ACT,
Audi Q8 Q8 e-tron quattro Sportback,250.0,0.07,8.51,0.01,2.63,0.21,-2.41,26.25,49.15,22.9,WA,NT,
Mercedes-Benz EQE 53 AMG 4MATIC+,150.0,0.07,8.67,2.05,1.58,26.66,25.09,15.75,30.04,14.29,WA,SA,ICE fetch failed; manual entry path simulated
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,150.0,0.341,6.9,1.74,7.67,18.01,10.34,15.75,23.91,8.16,NT,VIC,
Volvo C40 Recharge,400.0,0.376,8.14,189.74,22.56,6177.93,6155.37,42.0,75.21,33.21,ACT,NSW,
GWM Ora Extended Range GT,500.0,0.07,50.0,2.12,5.25,530.0,524.75,52.5,577.5,525.0,SA,QLD,ICE fetch failed; manual entry path simulated
"Cupra Born 77kWh 4 seat (19 Alloys)""",150.0,0.34,9.14,89.99,7.65,1233.76,1226.11,15.75,31.67,15.92,ACT,NSW,
Tesla Model 3 Long Range H5LDB,100.0,0.287,9.97,2.0,4.3,19.94,15.64,10.5,23.03,12.53,WA,QLD,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,200.0,0.292,7.95,0.01,8.76,0.16,-8.6,21.0,36.73,15.73,VIC,VIC,
Ford Mach-E Premium 4P RWD,400.0,0.274,10.09,89.99,16.44,3632.0,3615.56,42.0,93.23,51.23,WA,WA,ICE fetch failed; manual entry path simulated
GWM Ora Extended Range GT,400.0,0.378,8.4,2.2,22.68,73.92,51.24,42.0,77.62,35.62,QLD,QLD,
Peugeot 2008 e2008 GT,500.0,0.277,7.61,89.99,20.78,3424.12,3403.34,52.5,87.9,35.4,WA,NT,
Fiat 500e Abarth 500e 113.7 kW 42 kWh FWD ELECTRIC,100.0,0.342,10.62,1.94,5.13,20.6,15.47,10.5,24.53,14.03,TAS,QLD,
"Cupra Born 77kWh 4 seat (20 Alloys)""",200.0,0.337,2018.0,2.14,10.11,8637.04,8626.93,21.0,9323.16,9302.16,VIC,SA,ICE fetch failed; manual entry path simulated
Tesla Model 3 Long Range H5LDB,150.0,0.35,50.0,0.01,7.87,0.75,-7.12,15.75,173.25,157.5,ACT,NSW,ICE fetch failed; manual entry path simulated
Ford Mach-E Premium 4P RWD,200.0,0.1,7.34,0.01,3.0,0.15,-2.85,21.0,33.91,12.91,SA,TAS,
Peugeot 2008 e2008 GT,300.0,0.1,2018.0,189.74,4.5,1148685.96,1148681.46,31.5,13984.74,13953.24,ACT,VIC,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Coupe,200.0,0.6,8.25,2.13,18.0,35.14,17.14,21.0,38.12,17.12,NSW,QLD,
BYD SEAL Dynamic,150.0,0.402,8.08,1.84,9.04,22.3,13.26,15.75,28.0,12.25,QLD,NSW,
Peugeot 2008 e2008 GT,250.0,0.341,10.48,0.01,12.79,0.26,-12.53,26.25,60.52,34.27,QLD,NT,ICE fetch failed; manual entry path simulated
BMW 5 Series i5 M60 xDrive,300.0,0.373,7.95,1.86,16.79,44.36,27.58,31.5,55.09,23.59,VIC,TAS,
Audi Q8 Q8 e-tron quattro Sportback,500.0,0.306,8.64,1.93,22.95,83.38,60.43,52.5,99.79,47.29,SA,SA,
Fiat 500e FWD 87 kW 42 kWh,300.0,0.273,8.95,89.99,12.29,2416.23,2403.95,31.5,62.02,30.52,NT,SA,
Ford Mach-E GT 4P AWD,150.0,0.07,6.17,89.99,1.58,832.86,831.28,15.75,21.38,5.63,WA,NSW,
Volvo C40 Recharge,150.0,0.301,11.12,1.73,6.77,28.86,22.08,15.75,38.53,22.78,TAS,VIC,
GWM Ora Extended Range,300.0,0.07,10.62,189.74,3.15,6045.12,6041.97,31.5,73.6,42.1,ACT,WA,
"Cupra Born 77kWh 4 seat (20 Alloys)""",200.0,0.6,6.9,2.06,18.0,28.43,10.43,21.0,31.88,10.88,QLD,WA,
BMW 7 Series i7 M70 xDrive,400.0,0.305,8.25,189.74,18.3,6261.42,6243.12,42.0,76.23,34.23,SA,QLD,
BMW 5 Series i5 M60 xDrive,200.0,0.427,7.78,189.74,12.81,2952.35,2939.54,21.0,35.94,14.94,NT,SA,
Lexus RZ 450e,400.0,0.07,8.66,1.83,4.2,63.39,59.19,42.0,80.02,38.02,ACT,ACT,
BMW 7 Series i7 M70 xDrive,100.0,0.07,6.95,1.93,1.05,13.41,12.36,10.5,16.05,5.55,NT,NSW,ICE fetch failed; manual entry path simulated
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,400.0,0.312,8.35,1.8,18.72,60.12,41.4,42.0,77.15,35.15,SA,QLD,
MG MG4 51kWh EV RWD ,150.0,0.352,7.92,1.8,7.92,21.38,13.46,15.75,27.44,11.69,VIC,ACT,
Rolls-Royce Spectre Black Badge Coupe,250.0,0.4,8.52,1.66,15.0,35.36,20.36,26.25,49.2,22.95,ACT,SA,ICE fetch failed; manual entry path simulated
BMW 5 Series i5 M60 xDrive,100.0,0.1,6.77,2.12,1.5,14.35,12.85,10.5,15.64,5.14,ACT,ACT,
"Cupra Born 77kWh 4 seat (20 Alloys)""",100.0,0.07,7.92,0.01,1.05,0.08,-0.97,10.5,18.3,7.8,ACT,SA,
Fiat 500e FWD 87 kW 42 kWh,400.0,0.351,7.74,189.74,21.06,5874.35,5853.29,42.0,71.52,29.52,TAS,ACT,
Kia EV9 Air RWD,500.0,0.392,7.63,1.87,29.4,71.34,41.94,52.5,88.13,35.63,ACT,QLD,
Rolls-Royce Spectre Black Badge Coupe,500.0,0.1,8.78,89.99,7.5,3950.56,3943.06,52.5,101.41,48.91,ACT,TAS,
Fiat 500e FWD 87 kW 42 kWh,150.0,0.379,5.63,1.85,8.53,15.62,7.1,15.75,19.51,3.76,VIC,ACT,
Ford Mach-E GT 4P AWD,500.0,0.1,8.9,2.19,7.5,97.46,89.96,52.5,102.8,50.3,TAS,VIC,
Volvo C40 Recharge,100.0,0.1,9.58,89.99,1.5,862.1,860.6,10.5,22.13,11.63,TAS,ACT,ICE fetch failed; manual entry path simulated
GWM Ora Extended Range,500.0,0.312,10.0,1.96,23.4,98.0,74.6,52.5,115.5,63.0,NSW,VIC,
Kia EV9 GT-Line AWD,100.0,0.344,2018.0,0.01,5.16,20.18,15.02,10.5,4661.58,4651.08,NSW,NT,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Coupe,300.0,0.07,0.5,1.98,3.15,2.97,-0.18,31.5,3.46,-28.03,QLD,ACT,ICE fetch failed; manual entry path simulated
Mercedes-Benz EQE Class EQE 300,200.0,0.383,8.16,189.74,11.49,3096.56,3085.07,21.0,37.7,16.7,TAS,NSW,
Lexus RZ 450e,250.0,0.1,999.0,189.74,3.75,473875.65,473871.9,26.25,5769.23,5742.98,TAS,NSW,ICE fetch failed; manual entry path simulated
GWM Ora Standard Range,250.0,0.252,999.0,2.11,9.45,5269.72,5260.27,26.25,5769.23,5742.98,SA,QLD,ICE fetch failed; manual entry path simulated
Audi Q8 Q8 e-tron quattro,200.0,0.381,7.89,1.66,11.43,26.19,14.76,21.0,36.45,15.45,SA,QLD,
Mercedes-Benz EQS SUV EQS 450 4MATIC SUV,100.0,0.6,9.53,189.74,9.0,1808.22,1799.22,10.5,22.01,11.51,WA,TAS,
GWM Ora Extended Range GT,100.0,0.25,7.91,89.99,3.75,711.82,708.07,10.5,18.27,7.77,TAS,TAS,
Mercedes-Benz EQE SUV EQE 300 SUV ,100.0,0.1,7.46,89.99,1.5,671.33,669.83,10.5,17.23,6.73,WA,TAS,
Peugeot Partner  ePARTNER PRO LONG,500.0,0.271,11.7,2.04,20.33,119.34,99.02,52.5,135.13,82.63,QLD,VIC,
MG ZS EV 72kWh,500.0,0.6,50.0,1.69,45.0,422.5,377.5,52.5,577.5,525.0,VIC,WA,ICE fetch failed; manual entry path simulated
Rolls-Royce Spectre Black Badge Coupe,100.0,0.395,9.18,2.23,5.93,20.47,14.55,10.5,21.21,10.71,TAS,QLD,
Volvo XC40 Recharge,100.0,0.1,6.56,1.89,1.5,12.4,10.9,10.5,15.15,4.65,NT,NT,
Tesla Model 3 RWD H6LRB,500.0,0.366,9.32,0.01,27.45,0.47,-26.98,52.5,107.65,55.15,NT,VIC,
Audi Q8 Q8 e-tron quattro,250.0,0.6,8.11,89.99,22.5,1824.55,1802.05,26.25,46.84,20.59,NT,WA,
GWM Ora Standard Range,250.0,0.07,8.78,189.74,2.63,4164.79,4162.17,26.25,50.7,24.45,SA,ACT,ICE fetch failed; manual entry path simulated
MG ZS EV 72kWh,400.0,0.07,7.83,2.06,4.2,64.52,60.32,42.0,72.35,30.35,SA,TAS,
