Suburb,Cluster,Cluster_Label,Population,Income,Vehicles_per_Dwelling,Public_Chargers,Station_Count,Avg_Congestion,Demand_Index,Supply_Index,Demand_Supply_Ratio
Caroline Springs,2,EV-Ready Suburbs,21022,2133.0,2.1,1,1,0.0,1.6773700828688347,2,0.5591233609562782
Carrum Downs,2,EV-Ready Suburbs,23342,1658.0,1.9,1,1,0.0,1.6851060272733838,2,0.5617020090911279
Carrum - Patterson Lakes,0,Affluent Car-Dependent (High Potential),12445,1853.0,1.8,0,0,0.0,0.8511438634886982,0,0.8511438634886982
Caulfield (North),1,High Population – Infrastructure Gap,24485,2184.0,1.6,0,0,0.0,1.488523369315354,0,1.488523369315354
Caulfield (South),0,Affluent Car-Dependent (High Potential),18975,2289.0,1.7,0,0,0.0,1.2256494431715852,0,1.2256494431715852
Chelsea - Bonbeach,1,High Population – Infrastructure Gap,15882,1718.0,1.6,0,0,0.0,0.9655188136192138,0,0.9655188136192138
Chelsea Heights,0,Affluent Car-Dependent (High Potential),5456,1867.0,1.9,0,0,0.0,0.3938796369121575,0,0.3938796369121575
Chirnside Park,2,EV-Ready Suburbs,12506,2084.0,2.1,1,1,0.0,0.997868435751006,2,0.332622811917002
Clarinda - Oakleigh South,1,High Population – Infrastructure Gap,11752,1659.0,1.9,0,0,0.0,0.8484005668973013,0,0.8484005668973013
Clayton (Central),1,High Population – Infrastructure Gap,15034,1711.0,1.5,0,0,0.0,0.8568432331384149,0,0.8568432331384149
Clayton (North) - Notting Hill,1,High Population – Infrastructure Gap,14143,1867.0,1.3,0,0,0.0,0.6985869362848469,0,0.6985869362848469
Clayton South,1,High Population – Infrastructure Gap,15138,1630.0,1.6,0,0,0.0,0.9202886160790618,0,0.9202886160790618
Clifton Hill - Alphington,0,Affluent Car-Dependent (High Potential),11292,2529.0,1.4,0,0,0.0,0.6006679661229467,0,0.6006679661229467
Clyde North (North),0,Affluent Car-Dependent (High Potential),13155,2288.0,2.0,0,0,0.0,0.9996694365603165,0,0.9996694365603165
Clyde North (South),0,Affluent Car-Dependent (High Potential),24609,2193.0,2.1,0,0,0.0,1.9635810279383101,0,1.9635810279383101
Cobblebank - Strathtulloh,0,Affluent Car-Dependent (High Potential),11760,2056.0,2.0,0,0,0.0,0.893661161075585,0,0.893661161075585
Coburg (East),1,High Population – Infrastructure Gap,13966,1944.0,1.4,0,0,0.0,0.7429090342608107,0,0.7429090342608107
Coburg North,2,EV-Ready Suburbs,8935,1980.0,1.5,1,1,0.0,0.5092386782021907,2,0.1697462260673969
Coburg (West),0,Affluent Car-Dependent (High Potential),14835,2186.0,1.5,0,0,0.0,0.8455014875354786,0,0.8455014875354786
Collingwood,1,High Population – Infrastructure Gap,11145,2130.0,0.9,0,0,0.0,0.38111684847655847,0,0.38111684847655847
Craigieburn (Central),0,Affluent Car-Dependent (High Potential),8207,1523.0,2.0,0,0,0.0,0.6236630228696706,0,0.6236630228696706
Craigieburn (North),0,Affluent Car-Dependent (High Potential),12882,1958.0,2.1,0,0,0.0,1.0278699175871149,0,1.0278699175871149
Craigieburn (North West),0,Affluent Car-Dependent (High Potential),11198,1876.0,1.8,0,0,0.0,0.7658584960503368,0,0.7658584960503368
Craigieburn (South),1,High Population – Infrastructure Gap,24086,1835.0,2.1,0,0,0.0,1.9218502433630842,0,1.9218502433630842
Craigieburn (West),1,High Population – Infrastructure Gap,14760,1752.0,1.8,0,0,0.0,1.0094723523578293,0,1.0094723523578293
Cranbourne,2,EV-Ready Suburbs,22544,1920.0,2.0,1,1,0.0,1.713154525109523,2,0.571051508369841
Cranbourne East (North),1,High Population – Infrastructure Gap,25149,1931.0,2.0,0,0,0.0,1.9111126309430178,0,1.9111126309430178
Cranbourne East (South),0,Affluent Car-Dependent (High Potential),15112,1958.0,1.9,0,0,0.0,1.0909657391892458,0,1.0909657391892458
Cranbourne North (East),0,Affluent Car-Dependent (High Potential),13678,2184.0,2.1,0,0,0.0,1.0913836929635583,0,1.0913836929635583
Cranbourne North (West),0,Affluent Car-Dependent (High Potential),12329,1686.0,2.1,0,0,0.0,0.9837453977590079,0,0.9837453977590079
Cranbourne South,0,Affluent Car-Dependent (High Potential),24578,2228.0,2.3,0,0,0.0,2.147879644511317,0,2.147879644511317
Cranbourne West,2,EV-Ready Suburbs,24902,1903.0,2.0,1,1,0.0,1.8923427068966172,2,0.6307809022988724
Croydon (East),1,High Population – Infrastructure Gap,17181,1566.0,1.7,0,0,0.0,1.1097698594535446,0,1.1097698594535446
Croydon Hills - Warranwood,0,Affluent Car-Dependent (High Potential),18391,2377.0,2.2,0,0,0.0,1.537317572676462,0,1.537317572676462
Croydon South,0,Affluent Car-Dependent (High Potential),5140,1888.0,2.0,0,0,0.0,0.39059679999392066,0,0.39059679999392066
Croydon (West),1,High Population – Infrastructure Gap,14828,1695.0,1.8,0,0,0.0,1.014123037991998,0,1.014123037991998
Dandenong North,2,EV-Ready Suburbs,23300,1436.0,1.9,1,1,0.0,1.6820739626197343,2,0.5606913208732448
Dandenong North,2,EV-Ready Suburbs,23300,1208.0,1.5,1,1,0.0,1.3279531283840005,2,0.4426510427946668
Dandenong (North),2,EV-Ready Suburbs,23067,1436.0,1.9,1,1,0.0,1.6652532229935368,2,0.5550844076645123
Dandenong (North),2,EV-Ready Suburbs,23067,1208.0,1.5,1,1,0.0,1.3146735971001606,2,0.4382245323667202
Dandenong (South),1,High Population – Infrastructure Gap,10032,1288.0,1.7,0,0,0.0,0.6479955316941945,0,0.6479955316941945
Deer Park,2,EV-Ready Suburbs,18447,1459.0,1.8,1,1,0.0,1.2616352631398968,2,0.42054508771329896
Delahey,0,Affluent Car-Dependent (High Potential),8008,1486.0,2.0,0,0,0.0,0.6085406953990888,0,0.6085406953990888
Derrimut,2,EV-Ready Suburbs,8913,2271.0,2.2,1,1,0.0,0.7450443980895713,2,0.24834813269652378
Diggers Rest,0,Affluent Car-Dependent (High Potential),6967,2016.0,1.9,0,0,0.0,0.5029617724279695,0,0.5029617724279695
Dingley Village,0,Affluent Car-Dependent (High Potential),10754,1981.0,2.1,0,0,0.0,0.8580742969827537,0,0.8580742969827537
Docklands,1,High Population – Infrastructure Gap,18567,1956.0,0.8,0,0,0.0,0.5643743801935506,0,0.5643743801935506
Doncaster,1,High Population – Infrastructure Gap,27904,1595.0,1.6,0,0,0.0,1.6963755808607568,0,1.6963755808607568
Doncaster East (North),0,Affluent Car-Dependent (High Potential),16352,1934.0,2.0,0,0,0.0,1.2426145668289088,0,1.2426145668289088
Doncaster East (South),1,High Population – Infrastructure Gap,16710,1656.0,1.7,0,0,0.0,1.0793466242633565,0,1.0793466242633565
Donvale - Park Orchards,0,Affluent Car-Dependent (High Potential),16778,2284.0,2.2,0,0,0.0,1.40248568508323,0,1.40248568508323
Doreen (North),0,Affluent Car-Dependent (High Potential),17231,2173.0,2.1,0,0,0.0,1.3748817380797684,0,1.3748817380797684
Doreen (South),0,Affluent Car-Dependent (High Potential),11810,2120.0,2.0,0,0,0.0,0.897460740842063,0,0.897460740842063
Doveton,1,High Population – Infrastructure Gap,12792,1262.0,1.7,0,0,0.0,0.8262718143373342,0,0.8262718143373342
Dromana,1,High Population – Infrastructure Gap,13785,1398.0,1.9,0,0,0.0,0.9951669345370402,0,0.9951669345370402
East Melbourne,0,Affluent Car-Dependent (High Potential),5222,2345.0,1.2,0,0,0.0,0.23809686648656658,0,0.23809686648656658
Edithvale - Aspendale,0,Affluent Car-Dependent (High Potential),14151,2223.0,1.8,0,0,0.0,0.9678213589576993,0,0.9678213589576993
Elsternwick,0,Affluent Car-Dependent (High Potential),12765,2171.0,1.5,0,0,0.0,0.7275245357863419,0,0.7275245357863419
Eltham,2,EV-Ready Suburbs,23554,2302.0,2.1,1,1,0.0,1.8794013382119938,2,0.6264671127373312
Elwood,1,High Population – Infrastructure Gap,15961,2093.0,1.3,0,0,0.0,0.7883862044857839,0,0.7883862044857839
Emerald - Cockatoo,0,Affluent Car-Dependent (High Potential),18958,2176.0,2.5,0,0,0.0,1.8008108303221664,0,1.8008108303221664
Endeavour Hills (North),0,Affluent Car-Dependent (High Potential),12150,1823.0,2.2,0,0,0.0,1.0156276715795234,0,1.0156276715795234
Endeavour Hills (South),0,Affluent Car-Dependent (High Potential),13594,1733.0,2.1,0,0,0.0,1.0846812342554915,0,1.0846812342554915
Epping (East),1,High Population – Infrastructure Gap,13492,1675.0,2.0,0,0,0.0,1.025278604186377,0,1.025278604186377
Epping (South),1,High Population – Infrastructure Gap,8413,1443.0,1.7,0,0,0.0,0.5434196977814254,0,0.5434196977814254
Epping (West),1,High Population – Infrastructure Gap,12905,1867.0,1.3,0,0,0.0,0.6374364995231527,0,0.6374364995231527
Essendon Airport,0,Affluent Car-Dependent (High Potential),14,1934.5,1.8,0,0,0.0,0.0009574941011524125,0,0.0009574941011524125
Essendon (East),1,High Population – Infrastructure Gap,12946,2055.0,1.5,0,0,0.0,0.7378403948523292,0,0.7378403948523292
Essendon (West) - Aberfeldie,1,High Population – Infrastructure Gap,17156,1867.0,1.3,0,0,0.0,0.8474126761580169,0,0.8474126761580169
Fawkner,2,EV-Ready Suburbs,14960,1436.0,1.6,1,1,0.0,0.9094674129041328,2,0.3031558043013776
Ferntree Gully (North),1,High Population – Infrastructure Gap,14530,1606.0,1.8,0,0,0.0,0.9937420921246111,0,0.9937420921246111
Ferntree Gully (South) - Upper Ferntree Gully,1,High Population – Infrastructure Gap,15600,1867.0,1.3,0,0,0.0,0.7705547766417035,0,0.7705547766417035
Fitzroy,1,High Population – Infrastructure Gap,11984,1528.0,1.0,0,0,0.0,0.4553416392147029,0,0.4553416392147029
Fitzroy North,1,High Population – Infrastructure Gap,13722,2300.0,1.2,0,0,0.0,0.625654002667305,0,0.625654002667305
Flemington,1,High Population – Infrastructure Gap,10290,1571.0,1.1,0,0,0.0,0.43007443376762533,0,0.43007443376762533
Flemington Racecourse,0,Affluent Car-Dependent (High Potential),78,2178.0,1.1,0,0,0.0,0.003260039439637976,0,0.003260039439637976
Footscray,1,High Population – Infrastructure Gap,20756,1738.0,1.5,0,0,0.0,1.1829611644952067,0,1.1829611644952067
Forest Hill,2,EV-Ready Suburbs,11213,1833.0,1.8,1,1,0.0,0.7668843825872859,2,0.2556281275290953
Frankston,2,EV-Ready Suburbs,24792,1653.0,1.9,1,1,0.0,1.7897844498398476,2,0.5965948166132825
Frankston North,1,High Population – Infrastructure Gap,19841,1313.0,1.6,0,0,0.0,1.2061993943469853,0,1.2061993943469853
Frankston South,0,Affluent Car-Dependent (High Potential),19214,2038.0,2.0,0,0,0.0,1.4601025126620997,0,1.4601025126620997
Fraser Rise - Plumpton,0,Affluent Car-Dependent (High Potential),20730,2254.0,2.1,0,0,0.0,1.6540710597407928,0,1.6540710597407928
Gladstone Park - Westmeadows,1,High Population – Infrastructure Gap,18264,1600.0,2.0,0,0,0.0,1.3879104970990208,0,1.3879104970990208
Glen Iris (East),0,Affluent Car-Dependent (High Potential),17537,2914.0,1.9,0,0,0.0,1.2660313769297116,0,1.2660313769297116
Glenroy (East),1,High Population – Infrastructure Gap,15735,1526.0,1.6,0,0,0.0,0.956582202008458,0,0.956582202008458
Glenroy (West),1,High Population – Infrastructure Gap,9575,1869.0,1.5,0,0,0.0,0.5457146439603779,0,0.5457146439603779
Glen Waverley (East),1,High Population – Infrastructure Gap,22689,1949.0,1.9,0,0,0.0,1.6379646411106932,0,1.6379646411106932
Glen Waverley (West),1,High Population – Infrastructure Gap,23202,1890.0,1.8,0,0,0.0,1.586841295352734,0,1.586841295352734
Gowanbrae,0,Affluent Car-Dependent (High Potential),3189,2162.0,2.0,0,0,0.0,0.24233719750595586,0,0.24233719750595586
Greensborough,2,EV-Ready Suburbs,21338,2078.0,1.9,1,1,0.0,1.540433228084974,2,0.5134777426949914
Greenvale - Bulla,0,Affluent Car-Dependent (High Potential),25723,2250.0,2.4,0,0,0.0,2.3456781679946195,0,2.3456781679946195
Hadfield,1,High Population – Infrastructure Gap,6654,1538.0,1.7,0,0,0.0,0.42980086402443884,0,0.42980086402443884
Hallam,1,High Population – Infrastructure Gap,11944,1496.0,2.0,0,0,0.0,0.9076436146162234,0,0.9076436146162234
Hampton,2,EV-Ready Suburbs,19208,2415.0,1.7,1,1,0.0,1.240699578626604,2,0.41356652620886797
Hampton Park (East),1,High Population – Infrastructure Gap,13383,1623.0,2.1,0,0,0.0,1.067845296310228,0,1.067845296310228
Hampton Park (West),1,High Population – Infrastructure Gap,13768,1462.0,2.0,0,0,0.0,1.0462522844973345,0,1.0462522844973345
Hastings - Somers,1,High Population – Infrastructure Gap,23960,1407.0,1.9,0,0,0.0,1.7297206928913664,0,1.7297206928913664
Hawthorn East,1,High Population – Infrastructure Gap,17318,2228.0,1.5,0,0,0.0,0.9870168359379453,0,0.9870168359379453
Hawthorn (North),0,Affluent Car-Dependent (High Potential),10820,2300.0,1.4,0,0,0.0,0.5755603430260612,0,0.5755603430260612
Hawthorn (South),1,High Population – Infrastructure Gap,13481,2055.0,1.3,0,0,0.0,0.6658877528145387,0,0.6658877528145387
Heidelberg - Rosanna,1,High Population – Infrastructure Gap,16915,2102.0,1.6,0,0,0.0,1.0283182679995593,0,1.0283182679995593
Heidelberg West,1,High Population – Infrastructure Gap,16703,1618.0,1.5,0,0,0.0,0.9519657125921872,0,0.9519657125921872
Highett (East) - Cheltenham,1,High Population – Infrastructure Gap,25866,1867.0,1.3,0,0,0.0,1.2776390931163013,0,1.2776390931163013
Highett (West) - Cheltenham,1,High Population – Infrastructure Gap,13098,1867.0,1.3,0,0,0.0,0.6469696451572456,0,0.6469696451572456
Hillside,0,Affluent Car-Dependent (High Potential),16120,2212.0,2.4,0,0,0.0,1.469981420054942,0,1.469981420054942
Hoppers Crossing (North),1,High Population – Infrastructure Gap,18410,1705.0,2.1,0,0,0.0,1.4689555335179931,0,1.4689555335179931
Hoppers Crossing (South),1,High Population – Infrastructure Gap,18967,1470.0,1.8,0,0,0.0,1.297199329754129,0,1.297199329754129
Hughesdale,0,Affluent Car-Dependent (High Potential),8088,2057.0,1.6,0,0,0.0,0.4916960184203628,0,0.4916960184203628
Hurstbridge,0,Affluent Car-Dependent (High Potential),3540,2168.0,2.3,0,0,0.0,0.3093617845866247,0,0.3093617845866247
Ivanhoe,1,High Population – Infrastructure Gap,13151,2055.0,1.7,0,0,0.0,0.8494606496521484,0,0.8494606496521484
Ivanhoe East - Eaglemont,0,Affluent Car-Dependent (High Potential),8100,2914.0,2.0,0,0,0.0,0.615531922169408,0,0.615531922169408
Keilor,0,Affluent Car-Dependent (High Potential),8701,1935.0,1.9,0,0,0.0,0.628142727414348,0,0.628142727414348
Keilor Downs,2,EV-Ready Suburbs,13068,1553.0,2.0,1,1,0.0,0.993058167766645,2,0.33101938925554836
Keilor East,0,Affluent Car-Dependent (High Potential),15497,1913.0,1.9,0,0,0.0,1.118759665181031,0,1.118759665181031
Kensington,0,Affluent Car-Dependent (High Potential),11699,1840.0,2.5,0,0,0.0,1.1112820922006026,0,1.1112820922006026
Kew East,0,Affluent Car-Dependent (High Potential),6780,2485.0,1.8,0,0,0.0,0.4637007147009541,0,0.4637007147009541
Kew (South),0,Affluent Car-Dependent (High Potential),12352,2577.0,1.8,0,0,0.0,0.8447833669596143,0,0.8447833669596143
Kew (West),0,Affluent Car-Dependent (High Potential),13675,2459.0,1.7,0,0,0.0,0.8833073062119329,0,0.8833073062119329
Keysborough (North),1,High Population – Infrastructure Gap,15095,1525.0,2.0,0,0,0.0,1.1470931314996562,0,1.1470931314996562
Keysborough (South),0,Affluent Car-Dependent (High Potential),16874,2493.0,2.3,0,0,0.0,1.4746245065295778,0,1.4746245065295778
Kilsyth,1,High Population – Infrastructure Gap,10676,1654.0,1.9,0,0,0.0,0.7707219581514284,0,0.7707219581514284
Kingsbury,1,High Population – Infrastructure Gap,12508,1727.0,1.7,0,0,0.0,0.8079274432247794,0,0.8079274432247794
Kings Park,1,High Population – Infrastructure Gap,13931,1753.0,1.5,0,0,0.0,0.7939791859020392,0,0.7939791859020392
Knoxfield - Scoresby,0,Affluent Car-Dependent (High Potential),17142,1953.0,2.0,0,0,0.0,1.3026479271392586,0,1.3026479271392586
Koo Wee Rup,0,Affluent Car-Dependent (High Potential),12009,1763.0,2.1,0,0,0.0,0.9582122217282769,0,0.9582122217282769
Kurunjang - Toolern Vale,0,Affluent Car-Dependent (High Potential),12069,1556.0,2.2,0,0,0.0,1.0088568204356598,0,1.0088568204356598
Lalor (East),1,High Population – Infrastructure Gap,10195,1224.0,1.7,0,0,0.0,0.6585241672271047,0,0.6585241672271047
Lalor (West),1,High Population – Infrastructure Gap,13933,1450.0,1.9,0,0,0.0,1.0058513528403759,0,1.0058513528403759
Langwarrin,1,High Population – Infrastructure Gap,25747,1950.0,2.2,0,0,0.0,2.152211165445102,0,2.152211165445102
Laverton,1,High Population – Infrastructure Gap,12754,966.0,1.4,0,0,0.0,0.6784377647832149,0,0.6784377647832149
Lilydale - Coldstream,1,High Population – Infrastructure Gap,20533,1784.0,2.1,0,0,0.0,1.638352198246874,0,1.638352198246874
Lynbrook - Lyndhurst,0,Affluent Car-Dependent (High Potential),19435,2330.0,2.2,0,0,0.0,1.624586320752925,0,1.624586320752925
Lysterfield,0,Affluent Car-Dependent (High Potential),6614,2756.0,2.6,0,0,0.0,0.6533909349625932,0,0.6533909349625932
Malvern East,2,EV-Ready Suburbs,23738,2386.0,1.7,1,1,0.0,1.5333052164430614,2,0.5111017388143538
Malvern - Glen Iris,1,High Population – Infrastructure Gap,21680,2364.0,1.6,0,0,0.0,1.317998229395829,0,1.317998229395829
Manor Lakes - Quandong,0,Affluent Car-Dependent (High Potential),12575,2309.0,1.7,0,0,0.0,0.8122551645787975,0,0.8122551645787975
Maribyrnong,1,High Population – Infrastructure Gap,13818,1998.0,1.4,0,0,0.0,0.7350363049846685,0,0.7350363049846685
Meadow Heights,1,High Population – Infrastructure Gap,14960,1274.0,2.0,0,0,0.0,1.136834266130166,0,1.136834266130166
Melbourne Airport,0,Affluent Car-Dependent (High Potential),130,1437.0,2.9,0,0,0.0,0.01432441571962141,0,0.01432441571962141
Melbourne Cbd (East),1,High Population – Infrastructure Gap,13697,1511.0,0.4,0,0,0.0,0.20817137624578724,0,0.20817137624578724
Melbourne Cbd (North),1,High Population – Infrastructure Gap,23579,1089.0,0.3,0,0,0.0,0.2687708739413421,0,0.2687708739413421
Melbourne Cbd (West),1,High Population – Infrastructure Gap,21528,1446.0,0.4,0,0,0.0,0.3271894128509387,0,0.3271894128509387
Melton,1,High Population – Infrastructure Gap,8046,1887.0,2.1,0,0,0.0,0.6419997948226926,0,0.6419997948226926
Melton South - Weir Views,1,High Population – Infrastructure Gap,21758,1363.0,1.7,0,0,0.0,1.4054113615034176,0,1.4054113615034176
Melton West,1,High Population – Infrastructure Gap,22691,1621.0,2.0,0,0,0.0,1.7243252896229677,0,1.7243252896229677
Mentone,1,High Population – Infrastructure Gap,13987,1889.0,1.6,0,0,0.0,0.850315555099606,0,0.850315555099606
Mernda (North),0,Affluent Car-Dependent (High Potential),12038,1897.0,1.8,0,0,0.0,0.8233081421194816,0,0.8233081421194816
Mernda (South),0,Affluent Car-Dependent (High Potential),13526,2109.0,2.0,0,0,0.0,1.027862318427582,0,1.027862318427582
Mickleham - Yuroke,1,High Population – Infrastructure Gap,35371,1982.0,2.1,0,0,0.0,2.822293654321832,0,2.822293654321832
Mill Park (North),1,High Population – Infrastructure Gap,17706,1798.0,2.1,0,0,0.0,1.4127825462503847,0,1.4127825462503847
Mill Park (South),0,Affluent Car-Dependent (High Potential),11322,1647.0,2.0,0,0,0.0,0.8603768423212393,0,0.8603768423212393
Mitcham,1,High Population – Infrastructure Gap,17472,1996.0,2.0,0,0,0.0,1.3277251535980121,0,1.3277251535980121
Monbulk - Silvan,0,Affluent Car-Dependent (High Potential),5834,1872.0,2.5,0,0,0.0,0.5541687089407911,0,0.5541687089407911
Montmorency - Briar Hill,0,Affluent Car-Dependent (High Potential),16957,2068.0,1.9,0,0,0.0,1.2241600079031258,0,1.2241600079031258
Montrose,0,Affluent Car-Dependent (High Potential),6921,2094.0,2.3,0,0,0.0,0.60482850596724,0,0.60482850596724
Moonee Ponds,2,EV-Ready Suburbs,17823,2111.0,1.4,1,1,0.0,0.9480787424910803,2,0.31602624749702674
Moorabbin Airport,0,Affluent Car-Dependent (High Potential),26,1934.5,1.8,0,0,0.0,0.0017782033307116234,0,0.0017782033307116234
