Suburb,Cluster,Cluster_Label,Population,Income,Vehicles_per_Dwelling,Public_Chargers,Station_Count,Avg_Congestion,Demand_Index,Supply_Index,Demand_Supply_Ratio,Simulated_Usage,Optimal_Price
Caroline Springs,2,EV-Ready Suburbs,21022,2133.0,2.1,1,1,0.0,1.6773700828688347,2,0.5591233609562782,4.752016086340144,5.408163265306122
Carrum Downs,2,EV-Ready Suburbs,23342,1658.0,1.9,1,1,0.0,1.6851060272733838,2,0.5617020090911279,5.307807715060064,5.408163265306122
Carrum - Patterson Lakes,0,Affluent Car-Dependent (High Potential),12445,1853.0,1.8,0,0,0.0,0.8511438634886982,0,0.8511438634886982,8.842702066290546,5.204081632653061
Caulfield (North),1,High Population – Infrastructure Gap,24485,2184.0,1.6,0,0,0.0,1.488523369315354,0,1.488523369315354,15.860778820275899,5.0
Caulfield (South),0,Affluent Car-Dependent (High Potential),18975,2289.0,1.7,0,0,0.0,1.2256494431715852,0,1.2256494431715852,11.777320193870562,5.0
Chelsea - Bonbeach,1,High Population – Infrastructure Gap,15882,1718.0,1.6,0,0,0.0,0.9655188136192138,0,0.9655188136192138,9.46952915952832,5.408163265306122
Chelsea Heights,0,Affluent Car-Dependent (High Potential),5456,1867.0,1.9,0,0,0.0,0.3938796369121575,0,0.3938796369121575,2.832461395115547,6.428571428571429
Chirnside Park,2,EV-Ready Suburbs,12506,2084.0,2.1,1,1,0.0,0.997868435751006,2,0.332622811917002,2.1300214950893492,5.204081632653061
Clarinda - Oakleigh South,1,High Population – Infrastructure Gap,11752,1659.0,1.9,0,0,0.0,0.8484005668973013,0,0.8484005668973013,9.29653149136721,8.877551020408163
Clayton (Central),1,High Population – Infrastructure Gap,15034,1711.0,1.5,0,0,0.0,0.8568432331384149,0,0.8568432331384149,9.924672359954974,8.877551020408163
Clayton (North) - Notting Hill,1,High Population – Infrastructure Gap,14143,1867.0,1.3,0,0,0.0,0.6985869362848469,0,0.6985869362848469,6.913859241268135,6.428571428571429
Clayton South,1,High Population – Infrastructure Gap,15138,1630.0,1.6,0,0,0.0,0.9202886160790618,0,0.9202886160790618,10.206419058682641,5.408163265306122
Clifton Hill - Alphington,0,Affluent Car-Dependent (High Potential),11292,2529.0,1.4,0,0,0.0,0.6006679661229467,0,0.6006679661229467,6.368315686277101,5.408163265306122
Clyde North (North),0,Affluent Car-Dependent (High Potential),13155,2288.0,2.0,0,0,0.0,0.9996694365603165,0,0.9996694365603165,9.35157461099804,5.408163265306122
Clyde North (South),0,Affluent Car-Dependent (High Potential),24609,2193.0,2.1,0,0,0.0,1.9635810279383101,0,1.9635810279383101,19.997205884891514,5.816326530612245
Cobblebank - Strathtulloh,0,Affluent Car-Dependent (High Potential),11760,2056.0,2.0,0,0,0.0,0.893661161075585,0,0.893661161075585,10.47464817722182,6.428571428571429
Coburg (East),1,High Population – Infrastructure Gap,13966,1944.0,1.4,0,0,0.0,0.7429090342608107,0,0.7429090342608107,7.393264303498155,5.0
Coburg North,2,EV-Ready Suburbs,8935,1980.0,1.5,1,1,0.0,0.5092386782021907,2,0.1697462260673969,3.2621059164879753,5.0
Coburg (West),0,Affluent Car-Dependent (High Potential),14835,2186.0,1.5,0,0,0.0,0.8455014875354786,0,0.8455014875354786,5.835269771265041,6.428571428571429
Collingwood,1,High Population – Infrastructure Gap,11145,2130.0,0.9,0,0,0.0,0.38111684847655847,0,0.38111684847655847,4.633070989140808,5.408163265306122
Craigieburn (Central),0,Affluent Car-Dependent (High Potential),8207,1523.0,2.0,0,0,0.0,0.6236630228696706,0,0.6236630228696706,6.323677296934878,8.877551020408163
Craigieburn (North),0,Affluent Car-Dependent (High Potential),12882,1958.0,2.1,0,0,0.0,1.0278699175871149,0,1.0278699175871149,9.97969182540528,14.387755102040817
Craigieburn (North West),0,Affluent Car-Dependent (High Potential),11198,1876.0,1.8,0,0,0.0,0.7658584960503368,0,0.7658584960503368,7.750345737038871,5.0
Craigieburn (South),1,High Population – Infrastructure Gap,24086,1835.0,2.1,0,0,0.0,1.9218502433630842,0,1.9218502433630842,17.23093351902995,5.204081632653061
Craigieburn (West),1,High Population – Infrastructure Gap,14760,1752.0,1.8,0,0,0.0,1.0094723523578293,0,1.0094723523578293,9.87505163574078,5.408163265306122
Cranbourne,2,EV-Ready Suburbs,22544,1920.0,2.0,1,1,0.0,1.713154525109523,2,0.571051508369841,6.067627655210156,5.408163265306122
Cranbourne East (North),1,High Population – Infrastructure Gap,25149,1931.0,2.0,0,0,0.0,1.9111126309430178,0,1.9111126309430178,20.58902035417169,7.857142857142858
Cranbourne East (South),0,Affluent Car-Dependent (High Potential),15112,1958.0,1.9,0,0,0.0,1.0909657391892458,0,1.0909657391892458,10.39138717361881,6.428571428571429
Cranbourne North (East),0,Affluent Car-Dependent (High Potential),13678,2184.0,2.1,0,0,0.0,1.0913836929635583,0,1.0913836929635583,10.105343326742394,5.408163265306122
Cranbourne North (West),0,Affluent Car-Dependent (High Potential),12329,1686.0,2.1,0,0,0.0,0.9837453977590079,0,0.9837453977590079,9.335696934005544,5.408163265306122
Cranbourne South,0,Affluent Car-Dependent (High Potential),24578,2228.0,2.3,0,0,0.0,2.147879644511317,0,2.147879644511317,22.39419856281524,5.408163265306122
Cranbourne West,2,EV-Ready Suburbs,24902,1903.0,2.0,1,1,0.0,1.8923427068966172,2,0.6307809022988724,6.636560132648409,5.0
Croydon (East),1,High Population – Infrastructure Gap,17181,1566.0,1.7,0,0,0.0,1.1097698594535446,0,1.1097698594535446,10.567938390768408,6.428571428571429
Croydon Hills - Warranwood,0,Affluent Car-Dependent (High Potential),18391,2377.0,2.2,0,0,0.0,1.537317572676462,0,1.537317572676462,15.886443159877977,5.0
Croydon South,0,Affluent Car-Dependent (High Potential),5140,1888.0,2.0,0,0,0.0,0.39059679999392066,0,0.39059679999392066,4.003045549287247,8.673469387755102
Croydon (West),1,High Population – Infrastructure Gap,14828,1695.0,1.8,0,0,0.0,1.014123037991998,0,1.014123037991998,11.10987537045287,5.408163265306122
Dandenong North,2,EV-Ready Suburbs,23300,1436.0,1.9,1,1,0.0,1.6820739626197343,2,0.5606913208732448,4.904860114855095,5.0
Dandenong North,2,EV-Ready Suburbs,23300,1208.0,1.5,1,1,0.0,1.3279531283840005,2,0.4426510427946668,4.098848281348901,5.816326530612245
Dandenong (North),2,EV-Ready Suburbs,23067,1436.0,1.9,1,1,0.0,1.6652532229935368,2,0.5550844076645123,5.158735923512965,5.204081632653061
Dandenong (North),2,EV-Ready Suburbs,23067,1208.0,1.5,1,1,0.0,1.3146735971001606,2,0.4382245323667202,2.918730375535084,6.428571428571429
Dandenong (South),1,High Population – Infrastructure Gap,10032,1288.0,1.7,0,0,0.0,0.6479955316941945,0,0.6479955316941945,6.776075594006521,10.306122448979592
Deer Park,2,EV-Ready Suburbs,18447,1459.0,1.8,1,1,0.0,1.2616352631398968,2,0.42054508771329896,4.466506149312878,5.204081632653061
Delahey,0,Affluent Car-Dependent (High Potential),8008,1486.0,2.0,0,0,0.0,0.6085406953990888,0,0.6085406953990888,6.09052041063335,8.877551020408163
Derrimut,2,EV-Ready Suburbs,8913,2271.0,2.2,1,1,0.0,0.7450443980895713,2,0.24834813269652378,2.248894193590091,5.0
Diggers Rest,0,Affluent Car-Dependent (High Potential),6967,2016.0,1.9,0,0,0.0,0.5029617724279695,0,0.5029617724279695,3.6142469822292806,5.0
Dingley Village,0,Affluent Car-Dependent (High Potential),10754,1981.0,2.1,0,0,0.0,0.8580742969827537,0,0.8580742969827537,8.160097647062177,5.816326530612245
Docklands,1,High Population – Infrastructure Gap,18567,1956.0,0.8,0,0,0.0,0.5643743801935506,0,0.5643743801935506,5.3010292854087355,5.816326530612245
Doncaster,1,High Population – Infrastructure Gap,27904,1595.0,1.6,0,0,0.0,1.6963755808607568,0,1.6963755808607568,16.16147853938595,8.673469387755102
Doncaster East (North),0,Affluent Car-Dependent (High Potential),16352,1934.0,2.0,0,0,0.0,1.2426145668289088,0,1.2426145668289088,12.264859956623079,5.408163265306122
Doncaster East (South),1,High Population – Infrastructure Gap,16710,1656.0,1.7,0,0,0.0,1.0793466242633565,0,1.0793466242633565,11.197517099448104,7.857142857142858
Donvale - Park Orchards,0,Affluent Car-Dependent (High Potential),16778,2284.0,2.2,0,0,0.0,1.40248568508323,0,1.40248568508323,15.911042752042828,5.0
Doreen (North),0,Affluent Car-Dependent (High Potential),17231,2173.0,2.1,0,0,0.0,1.3748817380797684,0,1.3748817380797684,13.923395193629522,5.0
Doreen (South),0,Affluent Car-Dependent (High Potential),11810,2120.0,2.0,0,0,0.0,0.897460740842063,0,0.897460740842063,9.232157799143394,8.877551020408163
Doveton,1,High Population – Infrastructure Gap,12792,1262.0,1.7,0,0,0.0,0.8262718143373342,0,0.8262718143373342,8.188272227607174,6.428571428571429
Dromana,1,High Population – Infrastructure Gap,13785,1398.0,1.9,0,0,0.0,0.9951669345370402,0,0.9951669345370402,8.03289813007136,7.448979591836735
East Melbourne,0,Affluent Car-Dependent (High Potential),5222,2345.0,1.2,0,0,0.0,0.23809686648656658,0,0.23809686648656658,2.354454789416449,8.877551020408163
Edithvale - Aspendale,0,Affluent Car-Dependent (High Potential),14151,2223.0,1.8,0,0,0.0,0.9678213589576993,0,0.9678213589576993,9.73844379951802,5.0
Elsternwick,0,Affluent Car-Dependent (High Potential),12765,2171.0,1.5,0,0,0.0,0.7275245357863419,0,0.7275245357863419,9.738487470348705,5.408163265306122
Eltham,2,EV-Ready Suburbs,23554,2302.0,2.1,1,1,0.0,1.8794013382119938,2,0.6264671127373312,6.07231016259219,5.408163265306122
Elwood,1,High Population – Infrastructure Gap,15961,2093.0,1.3,0,0,0.0,0.7883862044857839,0,0.7883862044857839,8.185409387191452,5.0
Emerald - Cockatoo,0,Affluent Car-Dependent (High Potential),18958,2176.0,2.5,0,0,0.0,1.8008108303221664,0,1.8008108303221664,17.97339653351642,8.877551020408163
Endeavour Hills (North),0,Affluent Car-Dependent (High Potential),12150,1823.0,2.2,0,0,0.0,1.0156276715795234,0,1.0156276715795234,8.9875986781757,5.408163265306122
Endeavour Hills (South),0,Affluent Car-Dependent (High Potential),13594,1733.0,2.1,0,0,0.0,1.0846812342554915,0,1.0846812342554915,11.989635157069934,7.244897959183674
Epping (East),1,High Population – Infrastructure Gap,13492,1675.0,2.0,0,0,0.0,1.025278604186377,0,1.025278604186377,11.004719074550545,5.408163265306122
Epping (South),1,High Population – Infrastructure Gap,8413,1443.0,1.7,0,0,0.0,0.5434196977814254,0,0.5434196977814254,6.225228924857301,6.428571428571429
Epping (West),1,High Population – Infrastructure Gap,12905,1867.0,1.3,0,0,0.0,0.6374364995231527,0,0.6374364995231527,5.464977540436788,5.408163265306122
Essendon Airport,0,Affluent Car-Dependent (High Potential),14,1934.5,1.8,0,0,0.0,0.0009574941011524125,0,0.0009574941011524125,1.4123692519476234,6.428571428571429
Essendon (East),1,High Population – Infrastructure Gap,12946,2055.0,1.5,0,0,0.0,0.7378403948523292,0,0.7378403948523292,5.976552885731012,8.877551020408163
Essendon (West) - Aberfeldie,1,High Population – Infrastructure Gap,17156,1867.0,1.3,0,0,0.0,0.8474126761580169,0,0.8474126761580169,9.060983855380439,8.877551020408163
Fawkner,2,EV-Ready Suburbs,14960,1436.0,1.6,1,1,0.0,0.9094674129041328,2,0.3031558043013776,5.222013668823754,8.877551020408163
Ferntree Gully (North),1,High Population – Infrastructure Gap,14530,1606.0,1.8,0,0,0.0,0.9937420921246111,0,0.9937420921246111,8.94688459611542,5.0
Ferntree Gully (South) - Upper Ferntree Gully,1,High Population – Infrastructure Gap,15600,1867.0,1.3,0,0,0.0,0.7705547766417035,0,0.7705547766417035,7.139250036814263,5.0
Fitzroy,1,High Population – Infrastructure Gap,11984,1528.0,1.0,0,0,0.0,0.4553416392147029,0,0.4553416392147029,4.653067757234671,5.204081632653061
Fitzroy North,1,High Population – Infrastructure Gap,13722,2300.0,1.2,0,0,0.0,0.625654002667305,0,0.625654002667305,5.75306437255685,5.612244897959184
Flemington,1,High Population – Infrastructure Gap,10290,1571.0,1.1,0,0,0.0,0.43007443376762533,0,0.43007443376762533,2.7500809066101204,6.428571428571429
Flemington Racecourse,0,Affluent Car-Dependent (High Potential),78,2178.0,1.1,0,0,0.0,0.003260039439637976,0,0.003260039439637976,0.1011633692024071,6.428571428571429
Footscray,1,High Population – Infrastructure Gap,20756,1738.0,1.5,0,0,0.0,1.1829611644952067,0,1.1829611644952067,10.767307931225961,5.408163265306122
Forest Hill,2,EV-Ready Suburbs,11213,1833.0,1.8,1,1,0.0,0.7668843825872859,2,0.2556281275290953,3.0298737059261347,7.448979591836735
Frankston,2,EV-Ready Suburbs,24792,1653.0,1.9,1,1,0.0,1.7897844498398476,2,0.5965948166132825,5.046523931899022,5.408163265306122
Frankston North,1,High Population – Infrastructure Gap,19841,1313.0,1.6,0,0,0.0,1.2061993943469853,0,1.2061993943469853,13.611928348487393,5.0
Frankston South,0,Affluent Car-Dependent (High Potential),19214,2038.0,2.0,0,0,0.0,1.4601025126620997,0,1.4601025126620997,13.817771834284759,5.816326530612245
Fraser Rise - Plumpton,0,Affluent Car-Dependent (High Potential),20730,2254.0,2.1,0,0,0.0,1.6540710597407928,0,1.6540710597407928,16.218649081202255,8.877551020408163
Gladstone Park - Westmeadows,1,High Population – Infrastructure Gap,18264,1600.0,2.0,0,0,0.0,1.3879104970990208,0,1.3879104970990208,14.692622188359879,5.0
Glen Iris (East),0,Affluent Car-Dependent (High Potential),17537,2914.0,1.9,0,0,0.0,1.2660313769297116,0,1.2660313769297116,11.42944945286316,5.408163265306122
Glenroy (East),1,High Population – Infrastructure Gap,15735,1526.0,1.6,0,0,0.0,0.956582202008458,0,0.956582202008458,9.793281954688709,5.816326530612245
Glenroy (West),1,High Population – Infrastructure Gap,9575,1869.0,1.5,0,0,0.0,0.5457146439603779,0,0.5457146439603779,6.764289193886207,5.0
Glen Waverley (East),1,High Population – Infrastructure Gap,22689,1949.0,1.9,0,0,0.0,1.6379646411106932,0,1.6379646411106932,14.772163176545705,5.0
Glen Waverley (West),1,High Population – Infrastructure Gap,23202,1890.0,1.8,0,0,0.0,1.586841295352734,0,1.586841295352734,16.053046812059645,8.673469387755102
Gowanbrae,0,Affluent Car-Dependent (High Potential),3189,2162.0,2.0,0,0,0.0,0.24233719750595586,0,0.24233719750595586,2.6832547693079825,5.408163265306122
Greensborough,2,EV-Ready Suburbs,21338,2078.0,1.9,1,1,0.0,1.540433228084974,2,0.5134777426949914,5.916600298727223,14.387755102040817
Greenvale - Bulla,0,Affluent Car-Dependent (High Potential),25723,2250.0,2.4,0,0,0.0,2.3456781679946195,0,2.3456781679946195,22.219830969068113,5.612244897959184
Hadfield,1,High Population – Infrastructure Gap,6654,1538.0,1.7,0,0,0.0,0.42980086402443884,0,0.42980086402443884,2.977552027160112,5.408163265306122
Hallam,1,High Population – Infrastructure Gap,11944,1496.0,2.0,0,0,0.0,0.9076436146162234,0,0.9076436146162234,9.598377711779131,5.816326530612245
Hampton,2,EV-Ready Suburbs,19208,2415.0,1.7,1,1,0.0,1.240699578626604,2,0.41356652620886797,4.432649935321866,9.285714285714285
Hampton Park (East),1,High Population – Infrastructure Gap,13383,1623.0,2.1,0,0,0.0,1.067845296310228,0,1.067845296310228,10.928945813448157,6.428571428571429
Hampton Park (West),1,High Population – Infrastructure Gap,13768,1462.0,2.0,0,0,0.0,1.0462522844973345,0,1.0462522844973345,10.808971054470321,5.408163265306122
Hastings - Somers,1,High Population – Infrastructure Gap,23960,1407.0,1.9,0,0,0.0,1.7297206928913664,0,1.7297206928913664,16.617182207335173,5.0
Hawthorn East,1,High Population – Infrastructure Gap,17318,2228.0,1.5,0,0,0.0,0.9870168359379453,0,0.9870168359379453,10.102422056540457,5.408163265306122
Hawthorn (North),0,Affluent Car-Dependent (High Potential),10820,2300.0,1.4,0,0,0.0,0.5755603430260612,0,0.5755603430260612,6.048675903559293,5.204081632653061
Hawthorn (South),1,High Population – Infrastructure Gap,13481,2055.0,1.3,0,0,0.0,0.6658877528145387,0,0.6658877528145387,5.944526110119019,6.428571428571429
Heidelberg - Rosanna,1,High Population – Infrastructure Gap,16915,2102.0,1.6,0,0,0.0,1.0283182679995593,0,1.0283182679995593,12.148957191140349,5.204081632653061
Heidelberg West,1,High Population – Infrastructure Gap,16703,1618.0,1.5,0,0,0.0,0.9519657125921872,0,0.9519657125921872,9.99349004683366,5.204081632653061
Highett (East) - Cheltenham,1,High Population – Infrastructure Gap,25866,1867.0,1.3,0,0,0.0,1.2776390931163013,0,1.2776390931163013,11.585087433960364,5.0
Highett (West) - Cheltenham,1,High Population – Infrastructure Gap,13098,1867.0,1.3,0,0,0.0,0.6469696451572456,0,0.6469696451572456,7.126250060206287,5.0
Hillside,0,Affluent Car-Dependent (High Potential),16120,2212.0,2.4,0,0,0.0,1.469981420054942,0,1.469981420054942,13.725132530322098,5.408163265306122
Hoppers Crossing (North),1,High Population – Infrastructure Gap,18410,1705.0,2.1,0,0,0.0,1.4689555335179931,0,1.4689555335179931,15.476639938922384,5.408163265306122
Hoppers Crossing (South),1,High Population – Infrastructure Gap,18967,1470.0,1.8,0,0,0.0,1.297199329754129,0,1.297199329754129,14.130588876548694,5.408163265306122
Hughesdale,0,Affluent Car-Dependent (High Potential),8088,2057.0,1.6,0,0,0.0,0.4916960184203628,0,0.4916960184203628,4.096277865851917,8.26530612244898
Hurstbridge,0,Affluent Car-Dependent (High Potential),3540,2168.0,2.3,0,0,0.0,0.3093617845866247,0,0.3093617845866247,4.0569939751105695,5.612244897959184
Ivanhoe,1,High Population – Infrastructure Gap,13151,2055.0,1.7,0,0,0.0,0.8494606496521484,0,0.8494606496521484,8.907387423457983,5.408163265306122
Ivanhoe East - Eaglemont,0,Affluent Car-Dependent (High Potential),8100,2914.0,2.0,0,0,0.0,0.615531922169408,0,0.615531922169408,6.9773793816885705,5.408163265306122
Keilor,0,Affluent Car-Dependent (High Potential),8701,1935.0,1.9,0,0,0.0,0.628142727414348,0,0.628142727414348,8.178220256797427,5.0
Keilor Downs,2,EV-Ready Suburbs,13068,1553.0,2.0,1,1,0.0,0.993058167766645,2,0.33101938925554836,3.064805776552613,13.36734693877551
Keilor East,0,Affluent Car-Dependent (High Potential),15497,1913.0,1.9,0,0,0.0,1.118759665181031,0,1.118759665181031,10.43386048745282,7.040816326530612
Kensington,0,Affluent Car-Dependent (High Potential),11699,1840.0,2.5,0,0,0.0,1.1112820922006026,0,1.1112820922006026,10.223306492380503,6.428571428571429
Kew East,0,Affluent Car-Dependent (High Potential),6780,2485.0,1.8,0,0,0.0,0.4637007147009541,0,0.4637007147009541,3.821196862044103,6.428571428571429
