"model_release_year","make","model_release_version","model","variant","engine_displacement","engine_configuration","engine_induction","fwd_gears_no","transmission_type_description","side_door_no","seating_capacity","body_style","driving_wheels_no","fuel_type","co2_emissions_combined","co2_emissions_urban","co2_emissions_extra_urban","fuel_consumption_combined","fuel_consumption_urban","fuel_consumption_extra_urban","energy_consumption_whkm","electric_range_km","air_pollution_standard","stationary_noise_data","test_speed","is_current_model","model_end_year","fuel_life_cycle_co2","annual_tailpipe_co2","annual_fuel_cost"
"2014","BMW","F36","4 Series","420d Gran Coupe","2.0","4cyl","Turbo","6","Manual","4","5","Coupe","2","Diesel","128","158","110","4.9","6","4.2","","","Euro 5","77.00","3000","Yes","0","141","1.79","1098"
"2013","MINI","R61","Cooper D AWD","Paceman","1.6","4cyl","Normal","6","Manual","2","4","Coupe","2","Diesel","129","139","123","4.9","5.3","4.7","","","Euro 5","78.00","3000","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy","Caddy Maxi TDI320","2","4cyl","Turbo","7","Auto","4","7","Van","2","Diesel","129","152","116","4.9","5.8","4.4","","","Euro 6","74","3188","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy","Caddy Life Maxi TDI320","2","4cyl","Turbo","7","Auto","4","7","Van","2","Diesel","129","152","116","4.9","5.8","4.4","","","Euro 6","74","3188","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy","Caddy California TDI320","2","4cyl","Turbo","7","Auto","4","5","Van","2","Diesel","129","152","116","4.9","5.8","4.4","","","Euro 6","74","3188","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy Van","Caddy Cargo TDI320","2","4cyl","Turbo","7","Auto","3","2","Van","2","Diesel","129","152","116","4.9","5.8","4.4","","","Euro 6","74","3188","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy Van","Caddy Cargo Maxi TDI320","2","4cyl","Turbo","7","Auto","4","2","Van","2","Diesel","129","152","116","4.9","5.8","4.4","","","Euro 6","74","3188","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy Van","Caddy Crew Maxi TDI320","2","4cyl","Turbo","7","Auto","4","5","Van","2","Diesel","129","152","116","4.9","5.8","4.4","","","Euro 6","74","3188","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy Van","Caddy Cargo TDI280","2","4cyl","Turbo","6","Manual","3","2","Van","2","Diesel","129","160","110","4.9","6.1","4.2","","","Euro 6","72","2375","No","2025","141","1.81","1098"
"2021","Volkswagen","MY22","Caddy Van","Caddy Cargo Maxi TDI280","2","4cyl","Turbo","6","Manual","4","2","Van","2","Diesel","129","160","110","4.9","5.8","4.4","","","Euro 6","74","3188","No","2025","141","1.81","1098"
"2013","MINI","R61","Cooper SD AWD","Paceman","2.0","4cyl","Normal","6","Manual","2","4","Coupe","2","Diesel","130","141","124","4.9","5.3","4.7","","","Euro 5","80.00","3000","No","2025","141","1.82","1098"
"2020","Audi","","A4 Allroad","40 TDI quattro S tronic (150kW) 18/19 Wheels","2","4cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","130","150","119","4.9","5.7","4.5","","","Euro 6","70","3150","Yes","0","141","1.82","1098"
"2017","Audi","","A5 Cabriolet","2.0 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","2","4","Convertible","4","Diesel","131","148","121","5.1","5.7","4.6","","","Euro 6","74","2375","Yes","0","147","1.83","1142"
"2017","Audi","","Q2","2.0 TDI quattro S-tronic Standard 18 Inch Wheel","2","4cyl","Turbo","7","Other","4","5","SUV","2","Diesel","131","151","119","5","5.8","4.6","","","Euro 6","70","2375","Yes","0","144","1.83","1120"
"2017","Audi","","A5 Cabriolet","2.0 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","2","4","Convertible","4","Diesel","132","148","122","5.1","5.7","4.7","","","Euro 6","74","2375","Yes","0","147","1.85","1142"
"2017","Audi","","Q2","2.0 TDI quattro S-tronic Optional 18/19 Inch Wheel","2","4cyl","Turbo","7","Other","4","5","SUV","2","Diesel","133","152","121","5.1","5.8","4.7","","","Euro 6","70","2375","Yes","0","147","1.86","1142"
"2015","Mazda","","CX-3","","1.5","4cyl","Turbo","6","Auto","4","5","Wagon","4","Diesel","134","149","126","5.1","5.7","4.8","","","Euro 5","71.00","3000","Yes","0","147","1.88","1142"
"2018","BMW","F39","X2","xDrive20d","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","134","150","125","5.1","5.7","4.7","","","Euro 5","76","3000","Yes","0","147","1.88","1142"
"2015","BMW","G12","7 Series","730Ld","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","134","159","120","5.1","6","4.5","","","Euro 5","75","3000","Yes","0","147","1.88","1142"
"2015","Ford","MD","Mondeo","Ambiente","2","4cyl","Turbo","6","Auto","4","5","Hatch","2","Diesel","135","153","124","5.1","5.8","4.7","","","Euro 5","71","2625","Yes","0","147","1.89","1142"
"2015","Ford","MD","Mondeo","Trend","2","4cyl","Turbo","6","Auto","4","5","Hatch","2","Diesel","135","153","124","5.1","5.8","4.7","","","Euro 5","71","2625","Yes","0","147","1.89","1142"
"2015","Ford","MD","Mondeo","Titanium","2","4cyl","Turbo","6","Auto","4","5","Hatch","2","Diesel","135","153","124","5.1","5.8","4.7","","","Euro 5","71","2625","Yes","0","147","1.89","1142"
"2015","BMW","F48","X1","xDrive20d","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","135","155","123","5.1","5.9","4.7","","","Euro 5","76","3000","Yes","0","147","1.89","1142"
"2020","Audi","","A4 Allroad","40 TDI quattro S tronic 18/19 Wheels","2","4cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","136","149","129","5.2","5.7","4.9","","","Euro 6","74","3150","Yes","0","150","1.9","1165"
"2024","Mazda","","CX-80","","3.3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","137","148","134","5.2","5.6","5.1","","","Euro 5","73","2813","Yes","0","150","1.92","1165"
"2017","MINI","F60","Cooper SD ALL4","Countryman","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","138","153","129","5.2","5.8","4.9","","","Euro 5","75","3000","No","2025","150","1.93","1165"
"2016","Audi","","A4 Allroad","2.0 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","138","155","130","5.2","5.8","4.9","","","Euro 6","74","2375","Yes","0","150","1.93","1165"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","139","160","127","5.3","6.1","4.8","","","Euro 6","73","3150","Yes","0","153","1.95","1187"
"2019","BMW","G11","7 Series","730d","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","139","169","150","5.7","6.5","5.3","","","Euro 5","83","3000","Yes","0","164","1.95","1277"
"2018","Mazda","","6","","2.2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","139","171","121","5.3","6.6","4.6","","","Euro 5","73","3375","Yes","0","153","1.95","1187"
"2018","Mazda","","6","","2.2","4cyl","Turbo","6","Auto","4","5","Sedan","2","Diesel","139","171","121","5.3","6.6","4.6","","","Euro 5","73","3375","Yes","0","153","1.95","1187"
"2017","Audi","","Q5","2.0 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","140","150","134","5.4","5.7","5.1","","","Euro 6","72","2375","Yes","0","156","1.96","1210"
"2017","Renault","PhII","Kangoo","L2","1.5","4cyl","Turbo","6","Auto","3","2","Van","2","Diesel","140","153","133","5.4","5.9","5.1","","","Euro 6","78","3000","Yes","0","156","1.96","1210"
"2016","Audi","","A4 Allroad","2.0 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","Wagon","4","Diesel","140","157","132","5.3","5.9","5","","","Euro 6","74","2375","Yes","0","153","1.96","1187"
"2015","Ford","MD","Mondeo","Ambiente","2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","140","158","129","5.3","6","4.9","","","Euro 5","71","2625","Yes","0","153","1.96","1187"
"2015","Ford","MD","Mondeo","Trend","2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","140","158","129","5.3","6","4.9","","","Euro 5","71","2625","Yes","0","153","1.96","1187"
"2015","Ford","MD","Mondeo","Titanium","2","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","140","158","129","5.3","6","4.9","","","Euro 5","71","2625","Yes","0","153","1.96","1187"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 18 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","140","160","127","5.3","6.1","4.8","","","Euro 6","73","3150","Yes","0","153","1.96","1187"
"2022","Land Rover","L560","Range Rover Velar","Velar 204DTY 150kW","2","4cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","141","157","132","5.4","6","5","","","Euro 6","77","3000","Yes","0","156","1.97","1210"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","142","160","131","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","1.99","1210"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","142","160","131","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","1.99","1210"
"2023","Mazda","","CX-90","Diesel","3.3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","143","149","140","5.4","5.7","5.3","","","Euro 5","73","2813","Yes","0","156","2","1210"
"2024","Mazda","","CX-70","","3.3","6cyl","Turbo","8","Auto","4","5","SUV","4","Diesel","143","152","140","5.4","5.8","5.3","","","Euro 5","73","2813","Yes","0","156","2","1210"
"2017","Audi","","Q5","2.0 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","153","137","5.5","5.8","5.2","","","Euro 6","72","2375","Yes","0","159","2","1232"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","160","131","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","2","1210"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 19 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","160","132","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","2","1210"
"2020","Audi","","Q5","40 TDI quattro S-Tronic 20 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","143","160","133","5.4","6.1","5","","","Euro 6","73","3150","Yes","0","156","2","1210"
"2021","Audi","","Q5 Sportback","40 TDI quattro S-Tronic 21 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","144","160","133","5.5","6.1","5.1","","","Euro 6","73","3150","Yes","0","159","2.02","1232"
"2016","Ford","ZG","Escape","Trend","2","4cyl","Turbo","6","Auto","4","5","SUV","4","Diesel","144","164","133","5.5","6.3","5.1","","","Euro 5","72","2625","Yes","0","159","2.02","1232"
"2017","Audi","","Q5","2.0 TDI quattro S-Tronic 21 Inch Wheel","2","4cyl","Turbo","7","Auto","4","5","SUV","4","Diesel","145","155","139","5.6","5.9","5.3","","","Euro 6","72","2375","Yes","0","162","2.03","1254"
"2017","BMW","G32","6 Series","630d GT","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","145","163","135","5.5","6.2","5.1","","","Euro 5","74","3000","Yes","0","159","2.03","1232"
"2020","BMW","G30","5 Series","530d","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","145","176","127","5.5","6.7","4.8","","","Euro 5","74","3000","Yes","0","159","2.03","1232"
"2017","Renault","XZG","Koleos","","2","4cyl","Turbo","7","CVT","4","5","SUV","2","Diesel","147","158","141","5.6","6.1","5.4","","","Euro 5","75","2813","Yes","0","162","2.06","1254"
"2017","BMW","G30","5 Series","530d xDrive","3","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","147","172","132","5.6","6.6","5","","","Euro 5","74","3000","Yes","0","162","2.06","1254"
"2016","Ford","ZG","Escape","Titanium","2","4cyl","Turbo","6","Auto","4","5","SUV","4","Diesel","147","172","133","5.6","6.6","5.1","","","Euro 5","72","2625","Yes","0","162","2.06","1254"
"2017","BMW","G01","X3","xDrive20d","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","149","155","146","5.7","5.9","5.6","","","Euro 6","75","3000","Yes","0","164","2.09","1277"
"2013","BMW","F06","6 Series","640d Gran Coupe","3.0","6cyl","Turbo","8","Auto","4","5","Sedan","2","Diesel","149","181","130","5.7","6.9","4.9","","","Euro 5","85.00","3750","Yes","0","164","2.09","1277"
"2013","MINI","R61","Cooper D FWD","Paceman","2.0","4cyl","Normal","6","Auto","2","4","Coupe","2","Diesel","149","191","125","5.6","7.2","4.7","","","Euro 5","80.00","3000","No","2025","162","2.09","1254"
"2017","Land Rover","L560 23MY","LY","Velar 204DTY 150kW","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","150","169","139","5.7","6.4","5.3","","","Euro 6","75","3000","No","2025","164","2.1","1277"
"2018","Mazda","","CX-8","FWD","2.2","4cyl","Turbo","6","Auto","4","7","SUV","2","Diesel","150","172","137","5.7","6.6","5.2","","","Euro 5","76","3375","Yes","0","164","2.1","1277"
"2014","Land Rover","L550 24MY","LC","D165 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 24MY","LC","D165 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 24MY","LC","D200 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 24MY","LC","D200 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D165 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D165 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","7","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D200 AWD Auto 5 seats","2","4cyl","Turbo","9","Auto","4","5","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2014","Land Rover","L550 23MY","LC","D200 AWD Auto 7 seats","2","4cyl","Turbo","9","Auto","4","7","Wagon","4","Diesel","151","170","140","5.7","6.5","5.3","","","Euro 6","77","3000","Yes","0","164","2.11","1277"
"2024","Ssangyong","C300 24MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2022","Ssangyong","C300 23MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2021","Ssangyong","C300 22MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2020","Ssangyong","C300 21MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2019","Ssangyong","C300 20MY","Korando","D16DT 2WD AT","1.6","4cyl","Turbo","6","Auto","4","5","Wagon","2","Diesel","151","177","137","5.7","6.7","5.2","","","Euro 5","73","3000","Yes","0","164","2.11","1277"
"2021","BMW","X3 Series - G01","X3","xDrive20d","2","4cyl","Turbo","8","Auto","4","5","Wagon","4","Diesel","153","166","147","5.9","6.3","5.6","","","Euro 6","72","3000","Yes","0","170","2.14","1322"
"2015","Audi","","Q7","3.0 TDI quattro Tiptronic","3.0","6cyl","Turbo","8","Auto","4","7","Wagon","4","Diesel","153","167","147","5.9","6.4","5.6","","","Euro 6","70.00","2375","Yes","0","170","2.14","1322"
"2018","Audi","","A7","50 TDI quattro Tiptronic 19 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","153","176","140","5.9","6.8","5.4","","","Euro 6","69","2375","Yes","0","170","2.14","1322"
"2018","Audi","","A8","50 TDI quattro 19 Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","154","171","144","5.9","6.6","5.5","","","Euro 6","68","2375","Yes","0","170","2.16","1322"
"2018","Audi","","A8L","50 TDI quattro 19 Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","155","172","145","6","6.6","5.6","","","Euro 6","68","2375","Yes","0","173","2.17","1344"
"2016","Audi","","Q7","3.0 TDI quattro Tiptronic 18/19/20 Inch Wheel","3","6cyl","Turbo","8","Auto","4","7","SUV","4","Diesel","156","170","150","6","6.5","5.7","","","Euro 6","70","2375","Yes","0","173","2.18","1344"
"2018","Audi","","A8","50 TDI quattro 20 Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","156","172","147","6","6.6","5.6","","","Euro 6","68","2375","Yes","0","173","2.18","1344"
"2018","Audi","","A7","50 TDI quattro Tiptronic 20 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","156","179","142","6","6.9","5.5","","","Euro 6","69","2375","Yes","0","173","2.18","1344"
"2022","Peugeot","","Expert","EXPERT CITY SHORT 2.0 HDI MT6","2","4cyl","Turbo","6","Manual","4","3","Van","2","Diesel","156","183","140","6","7","5.4","","","Euro 5","84","3000","Yes","0","173","2.18","1344"
"2022","Peugeot","","Expert","EXPERT PRO LONG 2.0 HDI MT6","2","4cyl","Turbo","6","Manual","4","3","Van","2","Diesel","156","183","140","6","7","5.4","","","Euro 5","84","3000","Yes","0","173","2.18","1344"
"2018","Audi","","A8L","50 TDI quattro 20 Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","157","173","148","6","6.6","5.7","","","Euro 6","68","2375","Yes","0","173","2.2","1344"
"2018","Audi","","A7","50 TDI quattro Tiptronic 21 Inch Wheel","3","6cyl","Turbo","8","Auto","4","5","Sedan","4","Diesel","157","178","145","6","6.8","5.6","","","Euro 6","69","2375","Yes","0","173","2.2","1344"
