timestamp,weekly_km,trip_length,driving_frequency,driving_type,road_trips,car_ownership,fuel_efficiency,monthly_fuel_spend,home_charging,solar_panels,charging_preference,budget,priorities,postcode,cluster
8/08/2025 23:37,215,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Petrol,8.3,146.84,Yes,No,Home,"<$40,000","Environmental impact, Cost savings",3079,1
5/08/2025 10:51,223,Mostly long trips (>50 km),A few times a week,Mostly rural or remote area driving (long distances/variable road conditions),Yes,Yes - Diesel,6.6,104.14,No,No,Public stations,"$40,000-$60,000","Cost savings, Performance",3341,1
24/07/2025 17:31,205,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Diesel,5.4,72.06,No,No,Work,">$80,000","Environmental impact, Cost savings",3712,1
9/08/2025 11:03,74,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,Yes,Yes - Petrol,10.5,72.97,No,No,Home,"$40,000-$60,000","Cost savings, Environmental impact",3564,3
24/08/2025 7:50,39,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Hybrid,2.2,22.29,Yes,No,Work,"$60,000 -$80,000","Performance, Environmental impact",3550,3
10/08/2025 2:21,21,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Diesel,8.3,0,No,No,Public stations,Not sure/ Just exploring,"Brand reputation, Cost savings",3007,3
5/08/2025 10:28,35,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,7.8,27.02,Yes,No,Home,">$80,000","Cost savings, Environmental impact",3580,3
16/08/2025 15:14,71,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,8.7,59.29,No,Yes,Home,"$40,000-$60,000","Tech features, Charging convenience",3517,3
15/08/2025 20:17,69,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Electric,0,21.56,Yes,No,Work,"$40,000-$60,000","Brand reputation, Charging convenience",3062,3
26/08/2025 18:53,93,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,8.2,73.91,Yes,No,Work,"$40,000-$60,000","Charging convenience, Cost savings",3133,3
14/08/2025 9:44,66,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Electric,0,18.84,No,No,Home,Not sure/ Just exploring,"Brand reputation, Tech features",3070,3
22/08/2025 9:25,38,Mostly medium trips (10-50 km),Weekly,A mix of city/suburban and highway driving,No,Yes - Petrol,6.7,5.67,Yes,No,Home,Not sure/ Just exploring,"Charging convenience, Performance",3194,3
1/08/2025 14:38,44,Mostly medium trips (10-50 km),Weekly,A mix of city/suburban and highway driving,Yes,Yes - Petrol,9.8,23.62,Yes,No,Public stations,"<$40,000","Charging convenience, Environmental impact",3267,3
11/08/2025 15:17,69,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,Yes,No - I don't own a car,0,0,No,No,Public stations,"$40,000-$60,000","Performance, Tech features",3607,3
27/07/2025 3:49,214,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Diesel,8.5,139.05,No,No,Public stations,Not sure/ Just exploring,"Brand reputation, Charging convenience",3390,1
20/08/2025 13:44,37,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,5.4,25.65,No,No,Home,"$40,000-$60,000","Charging convenience, Environmental impact",3108,3
30/07/2025 14:18,70,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Diesel,7.7,29.57,Yes,Yes,Home,"$60,000 -$80,000","Environmental impact, Brand reputation",3026,3
24/08/2025 13:46,215,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Petrol,9,137.87,Yes,No,Home,"$60,000 -$80,000","Performance, Tech features",3791,1
12/08/2025 7:37,207,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,8,134.42,Yes,No,Home,"<$40,000","Performance, Charging convenience",3700,1
16/08/2025 22:17,73,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,No - I don't own a car,0,1,Yes,No,Home,"$60,000 -$80,000","Cost savings, Environmental impact",3254,3
31/07/2025 6:16,85,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,Yes,Yes - Petrol,8.3,37.73,Yes,No,Home,"$60,000 -$80,000","Cost savings, Performance",3029,3
17/08/2025 17:57,45,Mostly medium trips (10-50 km),Weekly,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Petrol,6.3,19.79,Yes,Yes,Home,"$40,000-$60,000","Performance, Tech features",3579,3
18/08/2025 16:56,75,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,6.8,26.39,No,No,Home,Not sure/ Just exploring,"Performance, Charging convenience",3023,3
11/08/2025 1:56,95,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Electric,0,29.8,No,Yes,Public stations,"$40,000-$60,000","Cost savings, Tech features",3305,3
2/08/2025 7:07,75,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,7,26.49,No,No,Public stations,"$60,000 -$80,000","Charging convenience, Tech features",3135,3
13/08/2025 18:53,17,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Electric,0,5.08,Yes,No,Public stations,Not sure/ Just exploring,"Environmental impact, Performance",3360,3
4/08/2025 0:11,20,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,7.1,0,No,No,Home,"<$40,000","Tech features, Cost savings",3196,3
29/07/2025 19:05,70,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,8.4,27.11,Yes,Yes,Public stations,"<$40,000","Performance, Brand reputation",3803,3
11/08/2025 19:43,85,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,7,35.63,Yes,No,Home,">$80,000","Cost savings, Brand reputation",3072,3
15/08/2025 17:29,37,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,9.3,35.23,No,No,Home,Not sure/ Just exploring,"Brand reputation, Performance",3380,3
8/08/2025 7:05,65,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Petrol,10.8,71.47,Yes,No,Work,"$40,000-$60,000","Performance, Cost savings",3752,3
27/08/2025 3:52,528,Mostly long trips (>50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Diesel,7,239.94,No,No,Work,Not sure/ Just exploring,"Tech features, Charging convenience",3090,2
9/08/2025 1:05,94,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,No,Yes - Diesel,9.1,55.46,No,No,Public stations,Not sure/ Just exploring,"Charging convenience, Environmental impact",3976,3
24/07/2025 10:11,39,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,7.5,8.45,Yes,No,Home,"$40,000-$60,000","Cost savings, Performance",3232,3
17/08/2025 0:06,89,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Petrol,7.4,46.29,No,No,Home,Not sure/ Just exploring,"Tech features, Cost savings",3304,3
28/08/2025 11:04,40,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,No - I don't own a car,0,14,Yes,No,Home,"$60,000 -$80,000","Brand reputation, Charging convenience",3232,3
28/08/2025 19:06,94,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,No,Yes - Petrol,8.7,50.96,No,Yes,Home,">$80,000","Cost savings, Tech features",3862,3
26/07/2025 23:45,65,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,5.7,40.17,No,No,Home,"$40,000-$60,000","Charging convenience, Cost savings",3012,3
9/08/2025 11:06,72,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,Yes,Yes - Petrol,6.2,14.73,No,No,Work,"$60,000 -$80,000","Performance, Brand reputation",3461,3
19/08/2025 8:28,24,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,2.1,0,Yes,Yes,Public stations,Not sure/ Just exploring,"Charging convenience, Cost savings",3697,3
15/08/2025 11:28,42,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,9.8,36.18,No,No,Home,">$80,000","Charging convenience, Cost savings",3896,3
22/08/2025 14:43,18,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Diesel,7.2,21.55,Yes,Yes,No preference,">$80,000","Cost savings, Brand reputation",3531,3
19/08/2025 0:19,72,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Diesel,9.1,28.24,Yes,No,Work,"<$40,000","Tech features, Environmental impact",3088,3
26/08/2025 13:47,19,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,8,2.14,Yes,No,Home,"$60,000 -$80,000","Brand reputation, Environmental impact",3461,3
16/08/2025 21:27,207,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Diesel,9.7,148.52,Yes,Yes,Work,Not sure/ Just exploring,"Performance, Charging convenience",3380,1
29/08/2025 23:05,214,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Petrol,9.9,163.34,No,No,Home,Not sure/ Just exploring,"Brand reputation, Tech features",3022,1
23/08/2025 23:11,45,Mostly medium trips (10-50 km),Weekly,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Hybrid,5.9,8.47,Yes,No,Public stations,"$40,000-$60,000","Charging convenience, Brand reputation",3079,3
25/07/2025 3:04,527,Mostly long trips (>50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Hybrid,6,236.84,No,No,Home,"$40,000-$60,000","Tech features, Brand reputation",3012,2
29/07/2025 9:06,215,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Hybrid,2.2,22.68,Yes,No,Home,Not sure/ Just exploring,"Tech features, Environmental impact",3461,1
31/07/2025 18:28,15,Mostly short trips (<10 km),Occasionally,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,3.1,17.41,Yes,Yes,Home,">$80,000","Charging convenience, Performance",3003,3
30/07/2025 4:11,88,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,No,Yes - Hybrid,2.6,17.78,Yes,Yes,Home,"$60,000 -$80,000","Tech features, Brand reputation",3142,3
25/07/2025 2:45,87,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,No,Yes - Petrol,9.1,69.05,Yes,Yes,Work,"$60,000 -$80,000","Cost savings, Brand reputation",3185,3
26/07/2025 23:15,72,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,7.1,47.48,Yes,No,Home,"$60,000 -$80,000","Charging convenience, Tech features",3148,3
4/08/2025 19:31,66,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Hybrid,4.2,2.32,No,No,Home,">$80,000","Brand reputation, Environmental impact",3057,3
24/08/2025 18:39,212,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Petrol,6.4,92.48,No,No,Work,Not sure/ Just exploring,"Brand reputation, Tech features",3085,1
3/08/2025 4:09,68,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Electric,0,31.32,No,No,Work,"<$40,000","Tech features, Charging convenience",3910,3
23/08/2025 8:56,75,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Petrol,9.5,33.24,Yes,Yes,Home,Not sure/ Just exploring,"Tech features, Charging convenience",3267,3
4/08/2025 3:28,71,Mostly long trips (>50 km),Occasionally,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,7.4,20.52,No,No,Home,">$80,000","Environmental impact, Cost savings",3103,3
13/08/2025 1:31,73,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Electric,0,6.52,Yes,No,Home,">$80,000","Brand reputation, Tech features",3159,3
4/08/2025 0:39,73,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Petrol,8.9,44.64,Yes,Yes,Home,"$60,000 -$80,000","Environmental impact, Tech features",3664,3
14/08/2025 16:32,76,Mostly long trips (>50 km),Weekly,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,8.2,47.69,Yes,Yes,Home,Not sure/ Just exploring,"Cost savings, Charging convenience",3766,3
23/07/2025 21:23,520,Mostly long trips (>50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Diesel,9,298.88,Yes,Yes,Public stations,"$40,000-$60,000","Brand reputation, Charging convenience",3013,2
14/08/2025 20:08,41,Mostly medium trips (10-50 km),Weekly,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Electric,0,1.84,Yes,No,Home,Not sure/ Just exploring,"Performance, Tech features",3880,3
20/08/2025 20:23,524,Mostly long trips (>50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,9,345.78,Yes,No,Public stations,Not sure/ Just exploring,"Charging convenience, Performance",3166,2
11/08/2025 12:38,69,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,6.7,16.9,Yes,No,Home,">$80,000","Tech features, Performance",3021,3
25/08/2025 19:27,88,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Hybrid,6.6,47.58,Yes,No,Home,">$80,000","Performance, Charging convenience",3933,3
25/07/2025 12:27,36,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Diesel,8,2.01,Yes,No,Home,">$80,000","Environmental impact, Cost savings",3213,3
26/07/2025 0:00,65,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,No - I don't own a car,0,14,Yes,No,Home,Not sure/ Just exploring,"Performance, Cost savings",3555,3
24/08/2025 1:38,94,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Petrol,6.4,32.11,Yes,No,No preference,"$60,000 -$80,000","Charging convenience, Cost savings",3082,3
25/07/2025 15:46,17,Mostly short trips (<10 km),Occasionally,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,10.5,24.09,Yes,Yes,Home,"$40,000-$60,000","Cost savings, Environmental impact",3023,3
27/08/2025 20:32,520,Mostly long trips (>50 km),Daily,Mostly rural or remote area driving (long distances/variable road conditions),Yes,No - I don't own a car,0,0,No,No,Home,Not sure/ Just exploring,"Tech features, Charging convenience",3730,0
9/08/2025 23:09,520,Mostly long trips (>50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,No - I don't own a car,0,0,Yes,No,No preference,"$40,000-$60,000","Tech features, Performance",3620,0
15/08/2025 17:35,66,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Hybrid,2.8,0,Yes,Yes,Home,Not sure/ Just exploring,"Cost savings, Charging convenience",3152,3
7/08/2025 22:36,93,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),No,No - I don't own a car,0,0,Yes,Yes,Home,"<$40,000","Cost savings, Brand reputation",3044,3
30/07/2025 11:52,225,Mostly long trips (>50 km),A few times a week,Mostly rural or remote area driving (long distances/variable road conditions),Yes,Yes - Diesel,7.8,128.83,No,Yes,Home,"<$40,000","Cost savings, Charging convenience",3185,1
18/08/2025 1:51,15,Mostly short trips (<10 km),Occasionally,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Diesel,6.6,15.53,No,No,Home,"<$40,000","Cost savings, Brand reputation",3951,3
25/07/2025 0:50,42,Mostly medium trips (10-50 km),Weekly,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,8.6,18.48,No,No,Home,"$40,000-$60,000","Charging convenience, Brand reputation",3672,3
20/08/2025 3:51,226,Mostly long trips (>50 km),A few times a week,Mostly rural or remote area driving (long distances/variable road conditions),No,Yes - Diesel,8,106.33,No,Yes,Public stations,">$80,000","Brand reputation, Cost savings",3361,1
11/08/2025 18:43,45,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Electric,0,19.8,No,No,Home,Not sure/ Just exploring,"Charging convenience, Cost savings",3070,3
29/08/2025 20:57,93,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,No,Yes - Petrol,10.3,86.23,Yes,No,Public stations,"$60,000 -$80,000","Cost savings, Tech features",3071,3
26/08/2025 20:11,214,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,Yes,Yes - Diesel,5.9,102.33,Yes,No,Home,"<$40,000","Tech features, Performance",3097,1
21/08/2025 5:55,88,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,Yes,Yes - Petrol,10.7,69.04,Yes,No,Home,"$40,000-$60,000","Brand reputation, Cost savings",3235,3
24/08/2025 3:31,20,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,6.4,15.38,No,No,Home,"$60,000 -$80,000","Environmental impact, Cost savings",3140,3
29/08/2025 2:21,45,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Electric,0,10.8,Yes,No,Home,">$80,000","Brand reputation, Environmental impact",3106,3
20/08/2025 9:15,19,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,7,0,Yes,No,Public stations,"$40,000-$60,000","Tech features, Cost savings",3309,3
12/08/2025 10:38,69,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Petrol,8.9,62.03,No,Yes,Home,"$60,000 -$80,000","Brand reputation, Environmental impact",3071,3
24/08/2025 6:17,530,Mostly long trips (>50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,7.4,291.56,Yes,No,No preference,"<$40,000","Tech features, Charging convenience",3224,2
29/08/2025 5:20,93,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,No,No - I don't own a car,0,11,Yes,Yes,Public stations,"<$40,000","Environmental impact, Performance",3691,3
15/08/2025 13:06,65,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Diesel,7.7,18.03,Yes,No,Public stations,"<$40,000","Charging convenience, Cost savings",3361,3
25/08/2025 18:30,38,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Diesel,6.4,12.05,Yes,No,Work,">$80,000","Charging convenience, Cost savings",3148,3
20/08/2025 2:23,35,Mostly medium trips (10-50 km),Weekly,A mix of city/suburban and highway driving,No,Yes - Petrol,9.4,20.12,Yes,No,No preference,">$80,000","Environmental impact, Tech features",3114,3
27/07/2025 10:18,16,Mostly short trips (<10 km),Occasionally,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,5.4,2.33,Yes,No,Work,"$60,000 -$80,000","Charging convenience, Performance",3910,3
31/07/2025 1:29,74,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,6.7,38.35,Yes,No,Home,"$40,000-$60,000","Environmental impact, Cost savings",3264,3
27/08/2025 7:09,24,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,9.9,11.42,Yes,Yes,Home,"$40,000-$60,000","Cost savings, Performance",3871,3
7/08/2025 6:13,73,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,Yes,Yes - Diesel,8.3,26.99,Yes,No,Home,"$40,000-$60,000","Environmental impact, Performance",3401,3
24/08/2025 0:04,16,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,10.5,30.32,Yes,No,Home,">$80,000","Tech features, Charging convenience",3270,3
23/07/2025 12:13,71,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,No,Yes - Petrol,10.3,61.62,Yes,No,Home,">$80,000","Brand reputation, Environmental impact",3063,3
24/08/2025 17:53,213,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Hybrid,3.7,74.78,Yes,No,Home,"<$40,000","Environmental impact, Brand reputation",3936,1
1/08/2025 4:07,69,Mostly short trips (<10 km),Daily,A mix of city/suburban and highway driving,Yes,Yes - Petrol,7.7,52.95,Yes,No,Home,">$80,000","Tech features, Charging convenience",3152,3
5/08/2025 16:38,206,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Petrol,7.4,103.77,Yes,No,Work,"$60,000 -$80,000","Brand reputation, Charging convenience",3159,1
27/08/2025 22:04,90,Mostly medium trips (10-50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,8.9,62.73,Yes,No,Home,">$80,000","Cost savings, Tech features",3390,3
8/08/2025 10:40,38,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Diesel,7.6,27.06,No,Yes,Home,">$80,000","Environmental impact, Cost savings",3664,3
7/08/2025 21:28,39,Mostly medium trips (10-50 km),Weekly,A mix of city/suburban and highway driving,No,Yes - Petrol,10,23.59,Yes,No,Home,">$80,000","Cost savings, Brand reputation",3191,3
13/08/2025 2:26,44,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Diesel,5.6,19.26,Yes,No,Home,">$80,000","Performance, Cost savings",3918,3
5/08/2025 15:47,211,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,Yes,Yes - Diesel,6.9,89.09,Yes,Yes,Work,"<$40,000","Charging convenience, Cost savings",3953,1
9/08/2025 21:23,73,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,6.7,27.86,Yes,No,Public stations,"<$40,000","Cost savings, Performance",3038,3
27/07/2025 6:36,523,Mostly long trips (>50 km),Daily,Mostly rural or remote area driving (long distances/variable road conditions),No,No - I don't own a car,0,0,Yes,No,Home,"$40,000-$60,000","Charging convenience, Brand reputation",3590,0
22/08/2025 16:27,226,Mostly long trips (>50 km),A few times a week,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Hybrid,3.4,37.34,Yes,No,Work,Not sure/ Just exploring,"Performance, Brand reputation",3274,1
4/08/2025 11:56,91,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,Yes,Yes - Hybrid,6.7,38.7,Yes,No,Home,"$60,000 -$80,000","Environmental impact, Brand reputation",3904,3
29/08/2025 3:01,17,Mostly short trips (<10 km),Weekly,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Electric,0,7.08,Yes,Yes,Home,"$40,000-$60,000","Tech features, Brand reputation",3607,3
26/07/2025 20:37,213,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,7.1,120.88,Yes,No,No preference,Not sure/ Just exploring,"Cost savings, Brand reputation",3062,1
2/08/2025 12:43,213,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),No,Yes - Petrol,9,127.55,Yes,Yes,Public stations,"$60,000 -$80,000","Charging convenience, Tech features",3202,1
1/08/2025 16:12,91,Mostly medium trips (10-50 km),A few times a week,A mix of city/suburban and highway driving,No,Yes - Hybrid,2.6,13.35,Yes,No,Public stations,"$40,000-$60,000","Tech features, Brand reputation",3523,3
19/08/2025 11:13,214,Mostly medium trips (10-50 km),Daily,Mostly highway or regional driving (longer distances/higher speeds),Yes,Yes - Petrol,8,143.52,Yes,Yes,Home,Not sure/ Just exploring,"Environmental impact, Brand reputation",3055,1
30/07/2025 3:23,211,Mostly medium trips (10-50 km),Daily,A mix of city/suburban and highway driving,No,Yes - Diesel,9.9,118.87,Yes,Yes,Home,"$60,000 -$80,000","Cost savings, Performance",3630,1
3/08/2025 7:23,75,Mostly short trips (<10 km),Daily,Mostly inner-city or suburban driving (short distances/stop-start traffic),No,Yes - Hybrid,5.3,15.14,Yes,No,Work,"<$40,000","Environmental impact, Cost savings",3033,3
13/08/2025 16:00,44,Mostly short trips (<10 km),A few times a week,Mostly inner-city or suburban driving (short distances/stop-start traffic),Yes,Yes - Petrol,9.2,29.68,Yes,Yes,Home,">$80,000","Cost savings, Charging convenience",3215,3
