,Suburb,Population,Dwellings,Income,Vehicles_per_Dwelling,Public_Chargers,EV_Count,Distance_km,ETA_min,Avg_Congestion,Charger_to_Pop_Ratio,EVs_per_Public_Charger,Cluster,Cluster_Label,Suburb_clean
39,brunswick (north),14595,6528.0,2062.0,1.2,4.0,69.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00027406646111682084,17.249956875107813,0,Moderate Priority Area,brunswick (north)
40,brunswick (south),15190,7121.0,2126.0,1.1,4.0,69.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00026333113890717575,17.249956875107813,0,Moderate Priority Area,brunswick (south)
41,brunswick west,15644,7651.0,1786.0,1.3,1.0,4.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.392227051904884e-05,3.9999600003999958,1,Moderate Priority Area,brunswick west
42,bulleen,11762,28157.0,1816.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",bulleen
43,bundoora (east),10240,3838.0,1705.0,1.9,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,9.765625e-05,0.9999900000999989,1,Moderate Priority Area,bundoora (east)
44,bundoora (north),8005,2876.0,1833.0,2.0,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00012492192379762648,0.9999900000999989,1,Moderate Priority Area,bundoora (north)
45,bundoora (west),6742,2703.0,1423.0,1.8,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0001483239394838327,0.9999900000999989,1,Moderate Priority Area,bundoora (west)
46,burnside,6449,19605.0,2069.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",burnside
47,burnside heights,6499,1808.0,2246.0,2.2,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",burnside heights
48,burwood,14918,16160.0,1867.0,1.3,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",burwood
49,burwood east,12366,4469.0,1610.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",burwood east
50,cairnlea,10045,3012.0,2062.0,2.3,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",cairnlea
51,camberwell,22120,8748.0,2472.0,1.8,1.0,8.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.5207956600361664e-05,7.9999200007999915,1,Moderate Priority Area,camberwell
52,campbellfield coolaroo,16438,5658.0,1104.0,1.8,1.0,4.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.0834651417447376e-05,3.9999600003999958,1,Moderate Priority Area,campbellfield coolaroo
53,carlton,23954,6451.0,1954.0,1.6,2.0,9.0,3.7434042553191493,7.307191489361703,455.3333333333333,8.349336227769892e-05,4.499977500112499,1,Moderate Priority Area,carlton
54,carlton north princes hill,8747,4137.0,2355.0,1.3,2.0,9.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00022864982279638732,4.499977500112499,1,Moderate Priority Area,carlton north princes hill
55,carnegie,20903,6026.0,1416.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",carnegie
56,caroline springs,21022,6851.0,2133.0,2.1,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.756921320521359e-05,0.0,1,Moderate Priority Area,caroline springs
57,carrum downs,23342,9010.0,1658.0,1.9,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.284123040013709e-05,0.0,1,Moderate Priority Area,carrum downs
58,carrum patterson lakes,12445,5462.0,1853.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",carrum patterson lakes
59,caulfield (north),24485,10397.0,2184.0,1.6,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",caulfield (north)
60,caulfield (south),18975,7549.0,2289.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",caulfield (south)
61,chelsea bonbeach,15882,7280.0,1718.0,1.6,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.29643621710112e-05,1.9999800001999979,1,Moderate Priority Area,chelsea bonbeach
62,chelsea heights,5456,2112.0,1867.0,1.9,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00018328445747800586,1.9999800001999979,1,Moderate Priority Area,chelsea heights
63,chirnside park,12506,4377.0,2084.0,2.1,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,7.996161842315688e-05,0.0,1,Moderate Priority Area,chirnside park
64,clarinda oakleigh south,11752,4342.0,1659.0,1.9,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,8.509189925119128e-05,0.0,1,Moderate Priority Area,clarinda oakleigh south
65,clayton (central),15034,5005.0,1711.0,1.5,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",clayton (central)
66,clayton (north) notting hill,14143,16160.0,1867.0,1.3,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",clayton (north) notting hill
67,clayton south,15138,5559.0,1630.0,1.6,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",clayton south
68,clifton hill alphington,11292,4471.0,2529.0,1.4,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",clifton hill alphington
69,clyde north (north),13155,3253.0,2288.0,2.0,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,7.601672367920942e-05,0.9999900000999989,1,Moderate Priority Area,clyde north (north)
70,clyde north (south),24609,4529.0,2193.0,2.1,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.0635539843146815e-05,0.9999900000999989,1,Moderate Priority Area,clyde north (south)
71,cobblebank strathtulloh,11760,2425.0,2056.0,2.0,1.0,0.0,10.16125,13.560625,455.3333333333333,8.503401360544217e-05,0.0,2,"Remote Area, Infrastructure Gap ❌",cobblebank strathtulloh
72,coburg (east),13966,5757.0,1944.0,1.4,1.0,25.0,3.7434042553191493,7.307191489361703,455.3333333333333,7.160246312473149e-05,24.999750002499972,1,Moderate Priority Area,coburg (east)
73,coburg north,8935,3521.0,1980.0,1.5,1.0,25.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0001119194180190263,24.999750002499972,1,Moderate Priority Area,coburg north
74,coburg (west),14835,5711.0,2186.0,1.5,1.0,25.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.740815638692282e-05,24.999750002499972,1,Moderate Priority Area,coburg (west)
75,collingwood,11145,5648.0,2130.0,0.9,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",collingwood
76,craigieburn (central),8207,2886.0,1523.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",craigieburn (central)
77,craigieburn (north),12882,3831.0,1958.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",craigieburn (north)
78,craigieburn (north west),11198,2981.0,1876.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",craigieburn (north west)
79,craigieburn (south),24086,6697.0,1835.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",craigieburn (south)
80,craigieburn (west),14760,4251.0,1752.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",craigieburn (west)
81,cranbourne,22544,42108.0,1920.0,2.0,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.435770049680625e-05,1.9999800001999979,1,Moderate Priority Area,cranbourne
82,cranbourne east (north),25149,7364.0,1931.0,2.0,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,3.9763012445822895e-05,1.9999800001999979,1,Moderate Priority Area,cranbourne east (north)
83,cranbourne east (south),15112,4111.0,1958.0,1.9,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.617257808364214e-05,1.9999800001999979,1,Moderate Priority Area,cranbourne east (south)
84,cranbourne north (east),13678,3749.0,2184.0,2.1,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,7.311010381634741e-05,1.9999800001999979,1,Moderate Priority Area,cranbourne north (east)
85,cranbourne north (west),12329,4078.0,1686.0,2.1,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,8.110957904128478e-05,1.9999800001999979,1,Moderate Priority Area,cranbourne north (west)
86,cranbourne south,24578,5947.0,2228.0,2.3,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.068679306697046e-05,1.9999800001999979,1,Moderate Priority Area,cranbourne south
87,cranbourne west,24902,7069.0,1903.0,2.0,1.0,2.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.015741707493374e-05,1.9999800001999979,1,Moderate Priority Area,cranbourne west
88,croydon (east),17181,7192.0,1566.0,1.7,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,5.820382981200163e-05,0.9999900000999989,1,Moderate Priority Area,croydon (east)
89,croydon hills warranwood,18391,6451.0,2377.0,2.2,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,5.4374422271763365e-05,0.9999900000999989,1,Moderate Priority Area,croydon hills warranwood
90,croydon south,5140,1937.0,1888.0,2.0,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0001945525291828794,0.9999900000999989,1,Moderate Priority Area,croydon south
91,croydon (west),14828,5970.0,1695.0,1.8,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.74399784192069e-05,0.9999900000999989,1,Moderate Priority Area,croydon (west)
92,dandenong north,23300,8333.0,1436.0,1.9,1.0,5.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.291845493562232e-05,4.999950000499995,1,Moderate Priority Area,dandenong north
93,dandenong (north),23067,8921.0,1208.0,1.5,1.0,5.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.3351974682446785e-05,4.999950000499995,1,Moderate Priority Area,dandenong (north)
94,dandenong (south),10032,3331.0,1288.0,1.7,1.0,5.0,3.7434042553191493,7.307191489361703,455.3333333333333,9.968102073365231e-05,4.999950000499995,1,Moderate Priority Area,dandenong (south)
95,deer park,18447,6590.0,1459.0,1.8,1.0,43.0,3.7434042553191493,7.307191489361703,455.3333333333333,5.420935653493793e-05,42.999570004299954,1,Moderate Priority Area,deer park
96,delahey,8008,2921.0,1486.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",delahey
97,derrimut,8913,2477.0,2271.0,2.2,1.0,5.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00011219566924716706,4.999950000499995,1,Moderate Priority Area,derrimut
98,diggers rest,6967,2023.0,2016.0,1.9,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",diggers rest
99,dingley village,10754,4009.0,1981.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",dingley village
100,docklands,18567,10826.0,1956.0,0.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",docklands
101,doncaster,27904,11685.0,1595.0,1.6,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",doncaster
102,doncaster east (north),16352,5974.0,1934.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",doncaster east (north)
103,doncaster east (south),16710,6366.0,1656.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",doncaster east (south)
104,donvale park orchards,16778,5912.0,2284.0,2.2,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",donvale park orchards
105,doreen (north),17231,5474.0,2173.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",doreen (north)
106,doreen (south),11810,3687.0,2120.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",doreen (south)
107,doveton,12792,4657.0,1262.0,1.7,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",doveton
108,dromana,13785,8900.0,1398.0,1.9,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",dromana
109,east melbourne,5222,3458.0,2345.0,1.2,4.0,83.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0007659900421294523,20.749948125129688,0,Moderate Priority Area,east melbourne
110,edithvale aspendale,14151,5582.0,2223.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",edithvale aspendale
111,elsternwick,12765,5784.0,2171.0,1.5,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",elsternwick
112,eltham,23554,22611.0,2302.0,2.1,1.0,5.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.245563386261357e-05,4.999950000499995,1,Moderate Priority Area,eltham
113,elwood,15961,8881.0,2093.0,1.3,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",elwood
114,emerald cockatoo,18958,6751.0,2176.0,2.5,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",emerald cockatoo
115,endeavour hills (north),12150,4219.0,1823.0,2.2,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",endeavour hills (north)
116,endeavour hills (south),13594,4747.0,1733.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",endeavour hills (south)
117,epping (east),13492,4687.0,1675.0,2.0,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,7.411799584939223e-05,0.9999900000999989,1,Moderate Priority Area,epping (east)
118,epping (south),8413,3172.0,1443.0,1.7,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.00011886366337810531,0.9999900000999989,1,Moderate Priority Area,epping (south)
119,epping (west),12905,16160.0,1867.0,1.3,1.0,1.0,3.7434042553191493,7.307191489361703,455.3333333333333,7.748934521503293e-05,0.9999900000999989,1,Moderate Priority Area,epping (west)
120,essendon airport,14,6026.0,1935.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",essendon airport
121,essendon (east),12946,6272.0,2055.0,1.5,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",essendon (east)
122,essendon (west) aberfeldie,17156,16160.0,1867.0,1.3,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",essendon (west) aberfeldie
123,fawkner,14960,5297.0,1436.0,1.6,1.0,4.0,3.7434042553191493,7.307191489361703,455.3333333333333,6.684491978609626e-05,3.9999600003999958,1,Moderate Priority Area,fawkner
124,ferntree gully (north),14530,6011.0,1606.0,1.8,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",ferntree gully (north)
125,ferntree gully (south) upper ferntree gully,15600,16160.0,1867.0,1.3,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",ferntree gully (south) upper ferntree gully
126,fitzroy,11984,552.0,1528.0,1.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",fitzroy
127,fitzroy north,13722,6492.0,2300.0,1.2,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",fitzroy north
128,flemington,10290,5167.0,1571.0,1.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",flemington
129,flemington racecourse,78,37.0,2178.0,1.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",flemington racecourse
130,footscray,20756,38345.0,1738.0,1.5,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",footscray
131,forest hill,11213,24151.0,1833.0,1.8,1.0,14.0,3.7434042553191493,7.307191489361703,455.3333333333333,8.918219923303308e-05,13.999860001399986,1,Moderate Priority Area,forest hill
132,frankston,24792,58774.0,1653.0,1.9,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,4.0335592126492416e-05,0.0,1,Moderate Priority Area,frankston
133,frankston north,19841,8677.0,1313.0,1.6,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,5.040068544932211e-05,0.0,1,Moderate Priority Area,frankston north
134,frankston south,19214,7393.0,2038.0,2.0,1.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,5.2045383574476944e-05,0.0,1,Moderate Priority Area,frankston south
135,fraser rise plumpton,20730,3247.0,2254.0,2.1,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",fraser rise plumpton
136,gladstone park westmeadows,18264,7111.0,1600.0,2.0,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",gladstone park westmeadows
137,glen iris (east),17537,6594.0,2914.0,1.9,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",glen iris (east)
138,glenroy (east),15735,6291.0,1526.0,1.6,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",glenroy (east)
139,glenroy (west),9575,3702.0,1869.0,1.5,0.0,0.0,3.7434042553191493,7.307191489361703,455.3333333333333,0.0,0.0,1,"Low EV Adoption, Growth Potential 🌱",glenroy (west)
140,glen waverley (east),22689,8072.0,1949.0,1.9,1.0,4.0,2.75,6.3100000000000005,455.3333333333333,4.4074220988144036e-05,3.9999600003999958,1,Moderate Priority Area,glen waverley (east)
141,glen waverley (west),23202,8464.0,1890.0,1.8,1.0,4.0,2.75,6.3100000000000005,455.3333333333333,4.309973278165675e-05,3.9999600003999958,1,Moderate Priority Area,glen waverley (west)
