Town,All Private Dwellings,Median Weekly Household Income,Average Motor Vehicles per Dwelling
Montrose,"2,516","$2,094",2.3
Moonee Ponds,"8,081","$2,111",1.4
Moorabbin Airport,N/A,N/A,N/A
Moorabbin (Heatherton),"3,828","$2,046",1.8
Mooroolbark,"8,663","$1,992",2.1
Mordialloc (Parkdale),"9,088","$2,090",1.8
Mornington (East),"6,226","$1,502",1.9
Mornington (West),"5,704","$1,389",1.7
Mount Dandenong (Olinda),"4,056","$2,102",2.2
Mount Eliza,"6,880","$2,547",2.3
Mount Evelyn,"3,570","$2,045",2.4
Mount Martha,"8,480","$2,097",2.1
Mount Waverley (North),"6,323","$2,049",1.9
Mount Waverley (South),"7,554","$2,079",1.9
Mulgrave,"24,619","$1,647",1.9
Murrumbeena,"4,269","$2,089",1.6
Narre Warren North,"23,767","$1,780",2.1
Narre Warren (North East),"4,636","$1,920",2.2
Narre Warren South (East),"3,906","$2,352",2.5
Narre Warren (South West),"5,483","$1,615",1.9
Narre Warren South (West),"5,007","$2,011",2.3
Newport,"5,459","$2,607",2.1
Niddrie (Essendon West),"3,095","$2,239",1.8
Noble Park (East),"5,408","$1,359",1.6
Noble Park North,"2,874","$1,453",1.8
Noble Park (West),"7,179","$1,399",1.7
Northcote (East),"6,855","$2,251",1.4
Northcote (West),"4,847","$2,318",1.3
North Melbourne,"9,297","$1,718",0.9
Nunawading,"5,080","$1,938",1.7
Oakleigh (Huntingdale),"9,743","$1,956",1.7
Oak Park,"3,451","$2,204",1.6
Ormond (Glen Huntly),"6,329","$1,978",1.4
Pakenham (North East),"5,916","$1,651",2
Pakenham (North West),"2,676","$1,887",2
Pakenham (South East),"2,937","$1,235",1.7
Pakenham (South West),"9,281","$1,803",2
Parkville,"2,823","$1,885",1.2
Pascoe Vale,"34,133","$1,947",1.6
Pascoe Vale South,"4,132","$2,245",1.8
Pearcedale (Tooradin),"2,999","$1,895",2.6
Plenty (Yarrambat),"3,215","$2,554",2.6
Point Cook (East),"6,694","$2,381",1.9
Point Cook (North East),"4,960","$2,185",1.9
Point Cook (North West),"3,158","$2,439",1.9
Point Cook (South),"6,089","$2,522",1.8
Point Nepean,"20,509","$1,430",1.9
Port Melbourne,"8,981","$2,347",1.3
Port Melbourne Industrial,"1,089","$2,407",1.2
Prahran (Windsor),"12,206","$2,098",1.1
Preston (East),"9,976","$1,787",1.4
Preston (West),"5,501","$1,970",1.5
Research (North Warrandyte),"2,359","$2,831",2.6
Reservoir (North East),"6,938","$1,544",1.5
Reservoir (North West),"3,896","$1,442",1.8
Reservoir (South East),"6,041","$1,401",1.4
Reservoir (South West),"6,457","$1,743",1.5
Richmond (North),"8,221","$2,009",1.1
Richmond (South (Cremorne),"16,160","$1,867",1.3
Ringwood,"27,664","$1,888",1.7
Ringwood East,"8,512","$1,945",1.8
Ringwood North,"3,517","$2,330",2.1
Rockbank (Mount Cottrell),"5,104","$2,123",2
Rosebud (McCrae),"14,611","$1,155",1.7
Rowville (Central),"5,747","$2,083",2.2
Rowville (North),"2,745","$2,285",2.2
Rowville (South),"3,623","$2,363",2.3
Roxburgh Park (North),"3,921","$1,619",2.2
Roxburgh Park (South (Somerton),"16,160","$1,867",1.3
Royal Botanic Gardens Victoria,N/A,N/A,N/A
Sandringham (Black Rock),"7,703","$2,356",1.8
Seabrook,"1,806","$2,042",2
Seaford,"8,180","$1,500",1.7
Seddon (Kingsville),"4,351","$2,364",1.3
Skye (Sandhurst),"4,673","$2,224",2.2
Somerville,"7,400","$1,781",2.2
Southbank (East),"12,383","$1,880",0.7
Southbank (West (South Wharf),"16,160","$1,867",1.3
South Melbourne,"7,475","$2,103",1.1
South Morang (North),"4,056","$2,242",2.2
South Morang (South),"4,446","$1,899",2
South Yarra (North),"8,446","$2,042",0.9
South Yarra (South),"6,516","$2,001",1
South Yarra (West),"4,258","$2,259",1.1
Springvale,"8,136","$1,401",1.7
Springvale South,"4,073","$1,505",2
St Albans (North),"8,119","$1,183",1.6
St Albans (South),"6,333","$1,232",1.7
St Kilda (Central),"8,598","$1,788",1
St Kilda East,"16,160","$1,867",1.3
St Kilda (West),"9,555","$1,849",1
Strathmore,"3,786","$2,440",2
Sunbury,"26,751","$1,812",2
Sunbury (South),N/A,N/A,N/A
Sunbury (West),"4,296","$1,987",2.2
Sunshine,"177,206","$1,574",2
Sunshine North,"4,390","$1,399",1.8
Sunshine West,"7,046","$1,416",1.8
Surrey Hills (East (Mont Albert),"16,160","$1,867",1.3
Surrey Hills (West (Canterbury),"16,160","$1,867",1.3
Sydenham,"26,554","$2,107",2.2
Tarneit (Central),"8,349","$2,164",2
Tarneit (North),"2,215","$2,198",1.9
Tarneit (South),"3,503","$1,885",1.9
Tarneit (West (Mount Cottrell),"16,160","$1,867",1.3
Taylors Hill,"16,160","$1,867",1.3
Taylors Lakes,"5,915","$2,167",2.4
Templestowe,"6,310","$2,163",2.1
Templestowe Lower,"5,504","$1,919",1.9
The Basin,"1,629","$2,049",2.2
Thomastown,"30,354","$1,516",1.8
Thornbury,"9,055","$1,978",1.4
Toorak,"7,257","$2,538",1.7
Truganina (North),"2,646","$2,307",1.9
Truganina (South East),"3,045","$2,337",1.9
Truganina (South West),"5,666","$1,947",1.9
Tullamarine,"68,264","$1,658",2
Upwey (Tecoma),"3,776","$2,148",2.1
Vermont,"4,086","$2,042",1.9
Vermont South,"4,443","$1,944",2
Viewbank (Yallambie),"7,337","$2,025",1.8
Wallan,"5,217","$1,917",2.2
Wandin (Seville),"2,876","$2,066",2.7
Wantirna,"5,320","$1,883",2
Wantirna South,"6,927","$1,821",1.9
Warrandyte (Wonga Park),N/A,N/A,N/A
Watsonia,"3,818","$1,961",1.8
Wattle Glen (Diamond Creek),"5,012","$2,496",2.4
Werribee (East),"7,727","$1,374",1.7
Werribee (South),"6,876","$1,802",1.8
Werribee (West),"8,439","$1,995",1.9
West Footscray (Tottenham),"5,372","$1,988",1.4
West Melbourne (Industrial),N/A,N/A,N/A
West Melbourne (Residential),"4,782","$1,784",0.8
Wheelers Hill,"7,945","$1,818",2
Whittlesea,"82,933","$1,768",1.9
Williamstown,"32,366","$2,315",1.6
Wollert,"7,989","$1,979",1.9
Wyndham Vale (North),"3,225","$1,862",1.7
Wyndham Vale (South),"4,699","$1,766",1.9
Yarra Valley,148,$900,1.9
Yarraville,"6,768","$2,483",1.5
